set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;
set K:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
param V:= 14;
param cp:= 112;
param dm:= 5.0;
param o:=
0 0
1 10
2 7
3 13
4 19
5 26
6 3
7 5
8 9
9 16
10 16
11 12
12 19
13 23
14 20
15 8
16 19
17 2
18 12
19 17
20 9
21 11
22 18
23 29
24 3
25 6
26 17
27 16
28 16
29 9
30 21
31 27
32 23
33 11
34 14
35 8
36 5
37 8
38 16
39 31
40 9
41 5
42 5
43 7
44 18
45 16
46 1
47 27
48 36
49 30
50 13
51 10
52 9
53 14
54 18
55 2
56 6
57 7
58 18
59 28
60 3
61 13
62 19
63 10
64 9
65 20
66 25
67 25
68 36
69 6
70 5
71 15
72 25
73 9
74 8
75 18
76 13
77 14
78 3
79 23
80 6
81 26
82 16
83 11
84 7
85 41
86 35
87 26
88 9
89 15
90 3
91 1
92 2
93 22
94 27
95 20
96 11
97 12
98 10
99 9
100 17
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100:=
0 0 5 6 8 18 9 4 5 9388 14 36 9 11 3972 11 8376 10 10832 5 8 14 6499 19 16 11 48 4 7 2166 12 11 12 25 8666 26 14804 9104 7583 47 15 16 20 6980 12 10 12 8 8 24 11 6 12 5 1444 32 14 12 33 3 8 7 9027 36 12277 41 22 14 31 9 5 8 14082 7944 9 10 11 22 27 22 9027 8 9749 9 15 17 8 11 8 6860 4 23 14 26 7 4333 10 11 8 30 6 9 
1 5 0 11 3109 14 11 13 5 8655 8 4 6 23 7 13 16 12 11 7 6217 7 10 14 66 12 13360 6860 5 5 5 3 2 6 2665 5329 11 8882 9772 31 16 8666 30 14 13681 12844 11 35 7328 12 8660 3 17 4188 8 11 12 15 13 17 18 7818 13 17 5 8 13 11 18415 5 1 2 9 48 46 12999 55 2 3 18 14 4219 12 8 8 38 10051 13 37 4 6 4441 11 18 9214 15 16 9 9 9772 8655 21 
2 6 11 0 9 5584 7 4 7994 13 16971 12 22 8305 3 12 15 6980 18 8 21 17693 3 3350 13 9493 9 6 8305 29 42 12 12 15 10889 27 19859 15 5 8935 8 3 4 13 6 27 9772 10 42 18 26 10 17 8 6 28 10 5026 1396 6 4188 13 27 12 29 56 23470 20581 9493 10 8 44 19859 13 3 3 5 7818 8655 12 12 10 12 10051 9 9 21 8655 2 10051 22 17 22 3630 5026 7 7 5 2792 4467 6 9 
3 8 3109 9 0 6 9 12 8 9992 11 6439 18 16 10 15 52 28 11546 7772 19 10 6 8 10 4 6 6499 7222 5777 1998 5 11 28 6 12 15 12213 15 22 8 10 11 50 14519 14798 11 15 43 12 12 1776 10 6217 10 3553 20 29 14 19 22 17 13123 7328 9 13 14 11 9 3 4 19 10 8 7 29 8 3 444 1998 666 1776 4 18 9104 13 50 64 42 26 7 14 13 11168 23 9493 11 10 10610 12006 14 12564 
4 18 14 5584 6 0 19 11 10214 20 58 19 16 5416 8 46 10 50 36 14443 16 16609 7 5055 5 5 5 5055 10110 7944 5107 15 14443 21 7 7994 16 18 10 14519 3250 22 6499 9 20 12 21 15 26 46 30 6 13721 13 15 4 3 3 13 27 9493 14443 13 35 20 15321 20581 24 9 4 12 14443 19 3 4 4 14 6 20 28 6217 3775 9 17332 15887 65 12 28 7539 15526 12 19 11168 9214 11 8097 34 9 10 20 10 10331 
5 9 11 7 9 19 0 2792 9 15 72 9214 9 12638 5 7 9 3071 3 3 7 16609 11193 12999 34 22 20 22 9 38 44 10889 9 48 9548 24 24 28 3 7 19 9027 51 5584 16 6 3 5 6 4885 11 8 20 6 10 15165 35 15165 6701 30 2 2 2 32 11 10 24 19498 26 9 8 12 22 12 14 14 13721 7994 36 12 40 36 10 6 2 4 2234 4 19 6701 13 12 6 6 1675 12 12 8 3630 2513 7 3350 
6 4 13 4 12 11 2792 0 5 11 61 8376 8 36 2 6143 7 6 11 6 14 16 8 9 10889 12 13 9 6 8 11168 9214 6 11 9772 26 23 8 3071 11 22 11 8 5026 8 6 11 7 6883 5551 9326 7539 12999 4 9 10 13 9214 11 5 2 2 4 10 11 43 21303 17693 17 36 6 9 17693 8 8 8 17 7 17 11727 40 17 12 11 7 8 4 6701 3 12 2 10331 5 2 2513 838 2 1 2513 3 2 3630 
7 5 5 7994 8 10214 9 5 0 2665 12999 12 13 8 7 12 12844 9 11 2 2 10471 35 10436 12657 12 13 7 16 21 12 4885 2 21 29 11 65 4441 6661 26 12 7106 13 12 15 10331 5 4 2887 6 20 12 10832 8 22 9326 22 11 8660 7 6 3553 7 2 5 5995 17693 13360 18 16 3775 8 15 9548 18 9992 11 6661 29 9 10 17 7772 1 3 5 8 9772 8 1 4 4 8655 6217 6 5107 23 20 6439 7 5329 14 
8 9388 8655 13 9992 20 15 11 2665 0 35 8 5 29 9 18 12 6 5 3 15 15 16 35 20942 14 85 53 9 11 12 9493 7 10051 19 50 82 5 9 11 20942 25 22 19 23 10 7 2 2887 1998 6 16 14804 4747 10 35 25 19137 21 12 6 3071 6 22 35 15 90 22 49 41 8 8097 24 20 30 18 36 8660 9548 11 21 10 13 2 2 3 12 28 8376 5 4747 11 8 7 5584 6143 27 5584 15 7 6 8 
9 14 8 16971 11 58 72 61 12999 35 0 11 16 10 16 23109 43 87 20942 18 14443 5 19 18054 25 9 19 11193 10 12 7222 7 9027 7583 12 8 4 24 19137 26720 17332 13721 78 23 29 22748 19137 19 19 30 17693 11 4 13 49 12 17 22 24 17 17693 21 20 22 42 19 6499 10 20220 30 16 6 3 15887 64 68 18 6 6138 5 4333 33 3 30 68 19 78 23831 17693 12 14 11 82 18 20 15526 18 66 71 19 17332 22 
10 36 4 12 6439 19 9214 8376 12 8 11 0 3 11554 10 18 31 15 14 12 3331 11 30 18776 21665 9548 38 13 9 9027 34 9 2 2220 21 10 15 6 46 16752 20220 14 39 27 16 27 9 7 6 4 6 9 6860 19 10471 59 22 19137 13402 12 13 16 45 1 1998 5 12999 8 30 7 3109 1776 10110 68 16248 35 75 5773 6217 7 8 7550 6 7 7818 19 11 13681 13 4 14 2 12006 21 13 9214 10 9214 12 45 11 24 
11 9 6 22 18 16 9 8 13 5 16 3 0 12 11 19 17 12844 9 5551 6 9027 13 13323 31 12 17 10 8 31 12 4441 8 13 7772 10214 15526 4 12 21 59 20 17 18 35 57 6661 7 3 3 12 7 10471 10 9 11 53 55 11991 12 9 28 9 2 2 3 62 22 21 9770 5329 4219 53 15 11769 16 27 8216 10 9548 9 9992 32 3997 6217 9 38 13681 10436 12 13 5 14 38 9104 34 36 8 11 9770 35 42 
12 11 23 8305 16 5416 12638 36 8 29 10 11554 12 0 8 48 40 47 32 10832 19 12 22 10 12 5416 7583 5 5416 3 5416 9 11 17 12 36 23 12 12 30 9 6 42 38 11448 15 32 11 10214 10 14 4 17 10 4694 3250 6138 10 42 6 45 24 18 14 59 12 19 27 25 3 6138 11 11915 7 26 16 35 2528 2889 7 5055 9 9 13360 14 56 26 13681 10 10471 10 27 21 43 12 10 11 12 20 49 11193 14 
13 3972 7 3 10 8 5 2 7 9 16 10 11 8 0 5863 5584 5584 8 10 34 30 8 12 9 10 20 5416 5416 23 11 10 7539 14 12 16 23 20 12 18 10 3611 12 5 26 23 30 9 8 28 11 15 15 6 4 7539 9214 7259 4 2 2513 5 5026 37 12285 13 22 18415 11727 8 6 8655 20 21 9 6 6 9 9 14 10 8 10610 29 22 6 3909 7 2 15 11 13 18 2 3 1117 1 3 1675 3071 2792 7 
14 11 13 12 15 46 7 6143 12 18 23109 18 19 48 5863 0 4188 12 8 8376 14 28 8655 8376 14 61 14 10 10 41 16 17 12285 69 15636 18707 105 14240 3 3 16 8 9 10 11 6 8097 11168 13 15 18 27 26 20 17 12844 17 13 19 7259 5 27 3909 17 21 75 37 25636 16 17 48 28 28 9 8 17 9493 26 13960 69 17 55 16473 41 8 7 4 4 4188 13 9 16473 3 4 5 22 4747 5 3909 3 6 3 
15 8376 16 15 52 10 9 7 12844 12 43 31 17 40 5584 4188 0 9 12 20 16 22026 7 5 14 26 11 8097 10 12 16 15356 15 17869 29 17032 24553 17 6 7 34 8 3350 10 1954 23 11168 57 15356 14 75 12564 40 21 9 11 10 7 1954 6 6 35 7259 59 22 23 113 32 10 13 13 14240 25 7 20 5 5 46 12 31 14 13 19 14 20 8935 6143 8097 3630 16 8 69 6 5026 7 6143 6 7 4 6 7 9 
16 10 12 6980 28 50 3071 6 9 6 87 15 12844 47 5584 12 9 0 3071 25 11168 21 9772 13 15 16 61 10 8935 10 16 13960 42 61 59 18149 100 22 6 17 16 9 11 6 5863 2 20 16 13 8935 27 12564 78 7818 32 13 30 12 26 29 3 8 1 14 28 32 56 23470 16194 17 11 25 24 10331 38 20 22 15 15 34 15077 13681 17 30 6 12 1675 7 5026 10 5863 18 2 3350 2234 4747 5 7 5 5 4 2 
17 10832 11 18 11546 36 3 11 11 5 20942 14 9 32 8 8 12 3071 0 5026 9 21 16 64 22 13323 21665 14 12 26 17 13 19 14 13 18 24192 8 5 6980 21 13 19 7259 9 5 2 16 12 6 34 9992 23 14 46 75 42 18415 10 22 5 7 3 18 12285 43 53 22 30 11 13 13 23109 32 19 18 17 20 12 17 24 11324 15 5305 3 3 7 3 8 10 12 50 3909 5026 3909 7 5584 4747 5863 6 4188 9 
18 5 7 8 7772 14443 3 6 2 3 18 12 5551 10832 10 8376 20 25 5026 0 18 12638 12 14 17693 40 18 9 5 30 39 7818 4467 9 16 21 22 23 6 13 19 36 14082 8 11 7539 3909 5 18 4 7 12 49 2 14 13721 21 16 8376 15 4 1675 9 10 8097 8 19859 19 21 10 5026 6 21 14 12 13360 14804 26 7 9326 9 7994 8216 4 1675 4 5026 15 6422 3630 4 32 12 6 9 4 18 3630 5305 5305 4 6143 
19 8 6217 21 19 16 7 14 2 15 14443 3331 6 19 34 14 16 11168 9 18 0 14 44 14 15 12213 28 19 6217 8 23 6 4 5 17 12 17 3 10 61 18 38 15 13 16 12844 6 5 7 7 3 8 14 5 32 23 27 13545 11 8660 10 12 16 2 13 4 18 12999 16654 13 11 5 61 24 14 25 13 8 36 10214 38 13 18 12 6 7 17 12006 38 12 12 5 11448 9 9 8 8216 7328 36 10 15 9326 
20 14 7 17693 10 16609 16609 16 10471 15 5 11 9027 12 30 28 22026 21 21 12638 14 0 65 22 21665 16 17693 12638 9388 40 21 3 14 3611 11 32 6 17 74 104 20 58 42 21 23470 28 19 33 14 15 14 8 3 10 12277 17 32 21 78 16 17 59 18776 32 6 23 14 3 45 11 9 4333 4333 35 17332 19 19 8305 10 7222 8 12 6 12 59 17332 37 22 20 17 51 10 19498 69 35 19 20 16 19 37 18 24 
21 6499 10 3 6 7 11193 8 35 16 19 30 13 22 8 8655 7 9772 16 12 44 65 0 5 8 6 14 14 32 6 6 16 14 18 7106 8882 17332 16 8 11727 6138 3 5 7 8 12 19 45 23 20 17 12 13721 10 9 6 6 3972 4 14 7 12 10 16 18776 16 27 77 12 19 11 52 17693 2 1 10 13 4885 5329 7772 7 5 16 14 51 51 8097 46 9 53 8666 35 8 6422 7539 5584 11 7 22 9 28 8 
22 19 14 3350 8 5055 12999 9 10436 35 18054 18776 13323 10 12 8376 5 13 64 14 14 22 5 0 3972 8 8 7 11193 11 16 18054 32 85 12 44 26 18 29 12 7 22 1 12 13 12 35 16 52 11546 17 8 69 13 16 8 10 2889 4 8 30 12999 9772 21 22026 65 24914 28 10 8 17 18 85 4 3 1 1444 14 7 9770 35 13 9992 34 30 16 8655 23 5026 66 45 42 10 28 8376 28 6701 7818 25 7818 32 9 
23 16 66 13 10 5 34 10889 12657 20942 25 21665 31 12 9 14 14 15 22 17693 15 21665 8 3972 0 7 13 10 14443 15 8438 20581 18776 48 12 44 21665 21 13 28 3 10 19 35 18 49 21303 15099 15321 56 17542 37 19137 68 11193 11 7 3 7 10110 21 34 16 22 24914 18208 26 98 5 7550 16248 78 22748 9 6 5 6 9 8 42 10 14 12 23 21 74 11727 14519 8097 19859 19 48 11727 11 11 10051 9772 12 9493 11 22 12 
24 11 12 9493 4 5 22 12 12 14 9 9548 12 5416 10 61 26 16 13323 40 12213 16 6 8 7 0 4 14 10832 8666 2 8 11 12 6 4 10832 30 26 18707 10 38 10 52 58 18 26 14211 53 13 14877 4663 20 8438 13 2 3 6 22 14 13 13 19 21 11102 14433 19 19 13 2 8 10 48 5773 7 6 12 4 6 5 13 2 4663 45 11324 24 16 35 11 19 17 13 16 12285 15 12 14 13 47 54 25 15 
25 48 13360 9 6 5 20 13 13 85 19 38 17 7583 20 14 11 61 21665 18 28 17693 14 8 13 4 0 8 14 12 4885 17 33 26 15 7772 32 21 12564 21 3 9027 19 13 14 19 28 15 17 13545 16876 8 59 15887 22 9 4 20 9 42 15 18 18 19859 22387 16654 41 19859 7 19 55 32 17 26 8 29 6499 7 5551 28 6 5 16 20 19137 25 13681 17032 10331 18054 16 26 16 12006 13123 11 11168 12006 11168 13 13 13123 
26 4 6860 6 6499 5055 22 9 7 53 11193 13 10 5 5416 10 8097 10 14 9 19 12638 14 7 10 14 8 0 6 2889 32 10832 12 16 17 12 56 14 38 52 33 2528 10 15 9493 10331 14082 20 9992 17 12 6138 11 16 12 4333 9 6860 7944 3250 10 20 15 25 15 49 71 31 48 5055 6499 19 14082 6 5 8 6860 5 5 10 30 9 38 15 22 15 11 11727 8 21 6860 14 8655 10 11 7 8 17 30 12 11 10 
27 7 5 8305 7222 10110 9 6 16 9 10 9 8 5416 5416 10 10 8935 12 5 6217 9388 32 11193 14443 10832 14 6 0 2166 10471 9 4333 13 9 11915 27 8438 9027 13 53 5 13 9 13 20 10471 15 6883 22 18 6 10 3 3250 35 23 12 11 10 9 6 13 30 10832 9 16 13 16971 8 3 6 16 9 11 21 23 10 8 40 8 8 10 8 8 18 12 21 8 7 14 19 32 9 10 5416 6 26 15 17 9 11 
28 2166 5 29 5777 7944 38 8 21 11 12 9027 31 3 23 41 12 10 26 30 8 40 6 11 15 8666 12 2889 2166 0 33 17 6499 13 9 12 51 10 11 17 14 5 12 9 13 10331 51 8882 17 28 10 16 7944 5416 3 6 10 9749 9388 5 9 9 11193 12 15 12 32 13 14804 5416 4 14 14 15 29 9 10 13 5 10 27 11 7944 11 9749 11 10471 46 8 8 7 11 9 8666 38 6499 7 7583 7944 9749 17 10 
29 12 5 42 1998 5107 44 11168 12 12 7222 34 12 5416 11 16 16 16 17 39 23 21 6 16 8438 2 4885 32 10471 33 0 27 8 17 3 12 8305 16 15 19 7 21 36 17 63 18 12879 14 51 11 56 15 30 8216 13 12 4219 7 12 14 13 42 17 38 20 27 13 25 9 7 24 8 38 28 14 9 7550 3331 2443 4 1998 1998 3331 22 14 12 29 22 48 8660 8438 36 15077 16 27 11168 47 12285 15 15 16 57 
30 11 3 12 5 15 10889 9214 4885 9493 7 9 4441 9 10 17 15356 13960 13 7818 6 3 16 18054 20581 8 17 10832 9 17 27 0 3 9 3 22 33 34 25 36 75 14 21 28 18 60 14 10 14 25 9 6 4 12 21 25 19 71 54 49 11168 12 14 7 3331 6661 19 5416 44 5773 6 1 6499 15887 31 68 17693 18 19 5 4441 6217 3553 7818 38 14 12285 61 13 4 8 3 15 23 23 20 22 41 11448 15 10889 13123 
31 12 2 12 11 14443 9 6 2 7 9027 2 8 11 7539 12285 15 42 19 4467 4 14 14 32 18776 11 33 12 4333 6499 8 3 0 8 20 8 49 8 10 59 20 10110 33 14 55 15 10 7 20 4 7 7 6 10 7583 12 15526 65 22 10 16 7 9214 2 3775 26 28 9749 43 6217 2 3 11 14082 27 16 15887 4441 6 6661 23 13 7 4 6143 16 37 12006 9493 1 6 4 10 8655 17 7 9 8 8655 10 7818 13 
32 25 6 15 28 21 48 11 21 10051 7583 2220 13 17 14 69 17869 61 14 9 5 3611 18 85 48 12 26 16 13 13 17 9 8 0 5 15 10 8 18 20 22387 64 22 20 18707 34 15 8660 6439 5995 7 6 8 15 27 65 38 21 16 31 16 10889 28 3331 1776 19 20 5 25636 8 20 4 16 39 23 26 43 27 7 7 7 34 7 8 42 25 17 66 18 4219 12 888 59 54 54 11727 12844 13 55 16 50 14798 
