set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 200;
param dm:= 5.0;
param o:=
0 0
1 10
2 7
3 13
4 19
5 26
6 3
7 5
8 9
9 16
10 16
11 12
12 19
13 23
14 20
15 8
16 19
17 2
18 12
19 17
20 9
21 11
22 18
23 29
24 3
25 6
26 17
27 16
28 16
29 9
30 21
31 27
32 23
33 11
34 14
35 8
36 5
37 8
38 16
39 31
40 9
41 5
42 5
43 7
44 18
45 16
46 1
47 27
48 36
49 30
50 13
51 10
52 9
53 14
54 18
55 2
56 6
57 7
58 18
59 28
60 3
61 13
62 19
63 10
64 9
65 20
66 25
67 25
68 36
69 6
70 5
71 15
72 25
73 9
74 8
75 18
76 13
77 14
78 3
79 23
80 6
81 26
82 16
83 11
84 7
85 41
86 35
87 26
88 9
89 15
90 3
91 1
92 2
93 22
94 27
95 20
96 11
97 12
98 10
99 9
100 17
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100:=
0 0 4 4 8 18 6 2 6 5773 14 28 12 11 2443 11 6661 10 6661 3 10 14 3997 12 16 11 48 4 4 2166 12 9 9 19 8666 26 14804 11448 5863 47 15 10 12 6980 12 10 7 8 11 30 13 6 12 3 888 32 14 12 20 2 5 4 6980 28 9493 51 22 14 31 9 4 6 14082 4885 6 6 7 22 27 22 9027 8 9749 6 9 11 6 11 5 5305 2 18 14 16 6 2665 6 7 5 23 4 7 
1 4 0 9 5055 14 9 13 6 6883 8 5 7 23 7 13 12 12 9 5 7818 7 6 9 66 19 13360 6860 3 5 9 3 3 7 4333 8666 11 11168 9772 31 16 5329 19 14 13681 12844 9 35 9214 16 10889 4 17 4188 6 11 12 15 11 13 18 6217 13 21 7 11 13 11 18415 8 1 2 9 29 28 7994 34 4 5 29 23 6860 20 6 6 30 10051 13 37 5 6 5584 11 18 9214 15 16 9 9 9772 8655 21 
2 4 9 0 8 7222 6 4 10051 10 16971 10 28 5107 2 12 12 6980 14 7 26 17693 3 2665 17 7550 12 4 5107 18 34 10 10 12 14082 35 19859 19 5 8935 10 2 3 13 6 27 7772 10 52 23 32 8 17 6 4 22 13 6499 1110 4 3331 11 27 9 23 70 23470 20581 12277 8 7 35 19859 11 2 3 4 6217 6883 16 9 8 15 7994 7 7 21 8655 2 7994 18 14 22 2887 5026 6 5 4 2220 4467 5 9 
3 8 5055 8 0 10 9 15 10 9992 11 10471 22 16 13 15 42 28 11546 7772 23 10 6 8 16 6 9 6499 7222 5777 3250 8 18 45 10 20 15 15356 15 22 13 6 11 50 14519 14798 11 15 54 15 15 2889 10 10110 10 5777 33 48 11 19 28 17 13123 11915 14 16 14 11 15 4 6 30 10 8 7 29 8 4 722 3250 1083 2889 6 18 9104 13 50 64 55 42 11 23 13 14443 23 12277 14 13 13721 12006 18 12564 
4 18 14 7222 10 0 19 14 16609 20 58 19 26 5416 10 59 13 65 36 14443 25 16609 7 5055 5 8 5 5055 10110 7944 8305 15 14443 21 12 12999 16 30 13 18776 3250 22 6499 12 26 16 21 24 43 75 49 10 13721 13 15 4 3 3 17 27 12277 14443 17 35 20 24914 20581 24 9 7 12 14443 19 3 4 4 14 10 33 46 10110 6138 15 17332 15887 65 16 37 9749 15526 12 19 14443 11915 15 10471 43 12 14 26 13 13360 
5 6 9 6 9 19 0 2220 9 12 44 7328 9 7772 4 7 7 3071 2 3 7 10214 6883 7994 34 22 20 13 5 23 44 8660 7 38 9548 24 15 28 3 7 19 5551 31 5584 16 6 3 5 6 4885 11 8 12 5 6 9326 35 15165 5329 19 2 2 2 26 9 10 15 11991 26 9 6 9 14 8 9 9 8438 7994 36 12 40 36 10 5 2 4 2234 4 15 5329 11 10 6 4 1675 10 10 6 2887 2513 5 3350 
6 2 13 4 15 14 2220 0 6 8 61 8376 10 36 2 6143 6 6 9 5 17 16 6 7 14082 16 16 9 4 8 14443 9214 6 11 12638 34 23 10 3071 11 28 7 6 5026 8 6 9 7 8655 6980 11727 9749 12999 3 5 13 17 11915 8 3 2 2 4 10 11 54 21303 17693 22 46 6 9 17693 6 6 7 13 9 22 15165 52 22 15 8 6 6 4 6701 3 12 1 10331 5 2 2513 666 2 1 1998 3 1 3630 
7 6 6 10051 10 16609 9 6 0 2665 12999 16 17 10 9 12 12844 9 11 2 3 10471 44 13123 20581 15 22 9 20 27 15 6143 3 27 48 18 65 5584 8376 26 20 8935 17 12 15 10331 5 4 3630 8 25 15 10832 10 28 11727 36 18 10889 9 7 3553 8 2 6 7539 17693 13360 29 21 4747 10 15 12006 22 12564 13 8376 37 15 13 21 12638 1 3 5 10 9772 10 2 6 6 8655 7818 8 6422 29 26 8097 9 6701 18 
8 5773 6883 10 9992 20 12 8 2665 0 21 6 5 18 7 18 9 6 4 3 15 9 10 21 20942 14 85 33 6 7 12 7550 5 7994 19 50 51 5 9 11 20942 15 13 19 23 10 5 2 2887 1998 6 16 9104 3775 6 22 25 19137 17 8 5 2443 6 18 28 15 55 14 49 41 6 6439 15 12 19 11 22 8660 9548 11 21 10 13 1 2 3 12 28 6661 4 3775 9 8 5 5584 4885 21 4441 12 7 5 8 
9 14 8 16971 11 58 44 61 12999 21 0 11 16 10 16 17869 43 67 12879 11 14443 5 19 18054 25 9 19 11193 10 12 7222 7 9027 7583 12 8 4 24 14798 20661 17332 13721 78 18 23 17590 11769 12 19 30 17693 11 4 13 49 12 17 22 24 17 17693 13 16 22 42 19 6499 10 20220 30 16 6 3 15887 64 68 18 6 6138 5 4333 33 3 19 42 12 60 18428 17693 12 14 11 64 18 16 15526 18 66 71 15 17332 17 
10 28 5 10 10471 19 7328 8376 16 6 11 0 3 11554 10 18 24 15 11 10 4188 11 19 11546 21665 15526 38 13 7 9027 55 11 3 2792 35 16 15 8 46 16752 20220 9 24 27 16 27 7 7 8 6 8 15 6860 19 8097 59 22 19137 10658 9 13 13 45 2 2513 7 12999 8 30 12 3909 2234 10110 42 9992 22 46 9388 10110 12 13 12277 10 5 6217 15 11 13681 13 4 14 2 12006 21 13 9214 10 9214 12 45 11 24 
11 12 7 28 22 26 9 10 17 5 16 3 0 15 14 19 17 12844 9 5551 8 9027 16 16752 50 15 28 12 10 39 15 5584 9 17 12638 16609 15526 6 16 21 95 25 22 18 35 57 6661 7 4 4 16 9 10471 13 12 14 87 90 15077 15 11 28 11 3 3 4 62 22 34 12285 6701 5305 53 19 14798 20 34 10331 12 15526 11 12564 52 3997 6217 9 48 13681 13123 16 17 6 14 48 11448 42 46 11 14 12285 44 52 
12 11 23 5107 16 5416 7772 36 10 18 10 11554 15 0 8 48 32 47 20 6661 24 12 13 6 12 5416 7583 5 5416 3 5416 9 11 17 12 36 23 15 9 30 9 3 26 38 11448 15 20 11 12844 12 17 4 17 10 4694 3250 6138 10 26 6 45 15 14 14 59 15 19 27 25 3 6138 11 11915 4 16 10 21 2528 2889 7 5055 9 9 8216 9 35 20 13681 10 10471 10 27 21 43 9 10 11 12 20 38 11193 11 
13 2443 7 2 13 10 4 2 9 7 16 10 14 8 0 5863 4441 5584 6 8 42 30 7 9 12 13 25 5416 3331 23 14 10 7539 14 16 21 23 25 12 18 13 2220 9 5 26 23 24 9 11 35 14 19 15 4 2 9749 11915 9388 3 1 1998 4 5026 37 12285 17 22 18415 15165 10 6 8655 20 17 7 4 5 11 12 19 13 10 13721 23 18 5 3909 7 2 15 9 13 18 2 3 888 1 2 1332 3071 2220 7 
14 11 13 12 15 59 7 6143 12 18 17869 18 19 48 5863 0 4188 12 8 8376 14 22 8655 8376 18 61 18 10 10 41 16 17 12285 69 15636 18707 82 14240 3 3 20 8 9 10 11 6 8097 11168 13 15 18 27 20 20 17 12844 22 17 19 7259 5 27 3909 17 21 75 28 19824 21 17 48 28 22 9 8 17 9493 26 13960 69 17 55 16473 41 8 7 4 4 4188 13 9 16473 3 4 5 22 4747 5 3909 3 6 3 
15 6661 12 12 42 13 7 6 12844 9 43 24 17 32 4441 4188 0 9 10 16 16 22026 5 4 18 20 14 6439 8 9 12 12213 12 14211 38 22026 24553 17 6 7 43 6 2665 10 1954 23 8882 45 15356 14 75 9992 40 17 7 9 13 10 1554 5 5 28 7259 47 18 23 113 32 13 10 10 11324 25 6 16 4 4 36 10 40 11 10 25 11 16 7106 6143 8097 2887 13 7 55 6 3997 7 4885 5 6 4 6 6 9 
16 10 12 6980 28 65 3071 6 9 6 67 15 12844 47 5584 12 9 0 3071 25 11168 16 9772 13 19 16 79 10 8935 10 16 13960 42 61 59 18149 77 22 6 17 20 9 11 6 5863 2 20 16 13 8935 27 12564 60 7818 32 13 38 16 26 29 3 8 1 14 28 32 43 18149 20942 17 11 25 19 10331 38 20 22 15 15 34 15077 13681 17 30 6 12 1675 7 5026 10 5863 18 2 3350 2234 4747 5 7 5 5 4 2 
17 6661 9 14 11546 36 2 9 11 4 12879 11 9 20 6 8 10 3071 0 3997 9 13 10 39 22 13323 21665 9 8 16 17 10 15 11 13 18 14877 8 5 6980 21 8 12 7259 9 5 2 16 12 6 34 9992 14 11 28 46 42 18415 8 14 4 5 3 15 9770 43 32 14 30 11 10 10 14211 20 11 11 10 20 12 17 24 11324 15 4219 2 3 7 3 6 8 9 40 3909 3997 3909 6 4441 3775 4663 6 3331 9 
18 3 5 7 7772 14443 3 5 2 3 11 10 5551 6661 8 8376 16 25 3997 0 18 7772 7 9 17693 40 18 6 3 19 39 6217 3553 7 16 21 14 23 6 13 19 22 8660 8 11 7539 3109 5 18 4 7 12 30 2 8 8438 21 16 6661 9 4 1332 9 8 6439 8 12213 12 21 10 3997 5 13 9 7 8216 9104 26 7 9326 9 7994 8216 4 1332 3 5026 15 5107 2887 3 26 12 5 9 3 14 2887 4219 5305 3 6143 
19 10 7818 26 23 25 7 17 3 15 14443 4188 8 24 42 14 16 11168 9 18 0 14 56 18 25 15356 46 23 7818 11 29 8 5 7 27 20 17 4 12 61 29 48 18 13 16 12844 6 5 9 9 4 11 14 6 40 29 43 22026 14 10889 13 12 20 3 17 5 18 12999 27081 16 14 7 61 30 18 31 16 11 46 16609 48 16 29 12 6 7 21 12006 48 15 15 6 11448 12 11 9 10331 9214 45 12 19 11727 
20 14 7 17693 10 16609 10214 16 10471 9 5 11 9027 12 30 22 22026 16 13 7772 14 0 65 22 21665 16 17693 12638 9388 40 21 3 14 3611 11 32 6 17 57 80 20 58 42 16 18149 21 12 20 14 15 14 8 3 10 12277 17 32 21 78 16 17 36 14519 32 6 23 14 3 45 11 9 4333 4333 35 17332 19 19 8305 10 7222 8 12 6 8 36 10658 28 17 20 17 51 10 15077 69 27 19 20 16 19 28 18 19 
21 3997 6 3 6 7 6883 6 44 10 19 19 16 13 7 8655 5 9772 10 7 56 65 0 3 8 6 14 9 20 4 6 10 8 11 11554 14443 17332 20 8 11727 6138 2 3 7 8 12 12 45 28 25 21 12 13721 6 6 4 6 3972 3 9 5 8 10 10 11546 20 27 77 12 19 7 32 17693 1 1 6 8 4885 5329 12638 7 5 25 9 31 31 8097 46 8 33 5329 22 8 5107 7539 4441 9 6 18 9 22 8 
22 12 9 2665 8 5055 7994 7 13123 21 18054 11546 16752 6 9 8376 4 13 39 9 18 22 3 0 3972 8 8 4 6883 7 16 11102 20 52 19 71 26 23 29 12 7 13 1 12 13 12 21 16 66 14519 21 8 69 8 10 5 10 2889 3 5 24 7994 9772 13 13545 82 24914 28 10 8 10 11 85 3 2 1 888 14 7 15887 35 13 16248 21 18 10 8655 23 3997 41 28 26 10 22 8376 22 5329 6217 20 7818 26 9 
23 16 66 17 16 5 34 14082 20581 20942 25 21665 50 12 12 18 18 19 22 17693 25 21665 8 3972 0 11 13 10 14443 15 13721 20581 18776 48 19 72 21665 34 17 36 3 10 19 45 23 64 21303 24553 24914 91 28525 61 19137 68 11193 11 7 3 10 10110 27 34 21 22 24914 29608 26 98 5 12277 16248 78 22748 9 6 5 6 15 14 68 16 23 20 23 21 74 15165 18776 10471 19859 19 48 15165 15 15 12999 12638 16 12277 14 29 16 
24 11 19 7550 6 8 22 16 15 14 9 15526 15 5416 13 61 20 16 13323 40 15356 16 6 8 11 0 6 14 10832 8666 3 13 17 20 9 7 10832 37 26 18707 17 23 10 52 58 18 26 14211 67 17 18707 7583 20 13721 13 4 5 9 18 14 16 13 19 34 18054 18149 19 19 22 4 14 16 48 5773 7 6 12 7 10 8 22 4 7583 45 11324 24 16 35 14 30 28 21 16 15887 15 16 19 17 61 54 32 15 
25 48 13360 12 9 5 20 16 22 85 19 38 28 7583 25 18 14 79 21665 18 46 17693 14 8 13 6 0 8 14 12 7944 17 33 26 25 12638 32 33 16248 28 3 9027 19 16 18 24 28 25 27 22026 27442 13 59 15887 22 9 4 20 12 42 20 18 24 19859 22387 27081 41 19859 7 30 55 32 17 26 8 29 6499 12 9027 46 10 8 25 20 19137 25 17693 22026 13360 18054 16 26 20 15526 16971 14 14443 15526 14443 17 16 16971 
26 4 6860 4 6499 5055 13 9 9 33 11193 13 12 5 5416 10 6439 10 9 6 23 12638 9 4 10 14 8 0 6 2889 32 10832 12 16 17 12 56 18 29 52 33 1554 6 15 9493 10331 8660 20 12564 21 15 6138 11 16 12 4333 9 6860 4885 3250 10 12 12 25 15 61 71 31 48 5055 6499 19 14082 4 3 5 4219 5 5 10 30 9 38 9 14 9 8 11727 8 21 6860 14 8655 10 8 7 8 17 30 9 11 8 
27 4 3 5107 7222 10110 5 4 20 6 10 7 10 5416 3331 10 8 8935 8 3 7818 9388 20 6883 14443 10832 14 6 0 2166 10471 7 3350 10 9 11915 27 10610 6980 13 53 3 8 9 13 20 6439 15 8655 28 22 6 10 2 1998 35 23 12 7 6 6 4 10 23 8376 12 16 13 16971 8 2 4 16 6 7 13 14 10 8 40 8 8 10 5 5 11 9 21 5 5 9 15 32 5 8 3331 4 16 9 13 6 8 
28 2166 5 18 5777 7944 23 8 27 7 12 9027 39 3 23 41 9 10 16 19 11 40 4 7 15 8666 12 2889 2166 0 33 17 6499 13 9 12 51 13 8 17 14 3 7 9 13 10331 31 8882 21 35 13 16 7944 5416 3 6 10 9749 5773 5 9 5 8655 12 15 15 32 13 14804 5416 4 14 14 9 18 5 6 13 5 10 27 11 7944 7 5995 7 8097 46 8 8 7 11 9 8666 29 6499 7 7583 7944 7539 17 8 
29 12 9 34 3250 8305 44 14443 15 12 7222 55 15 5416 14 16 12 16 17 39 29 21 6 16 13721 3 7944 32 10471 33 0 43 12 28 6 19 8305 20 15 19 12 13 36 17 63 18 12879 14 64 14 70 25 30 13360 13 20 6860 11 10 14 17 42 17 62 32 34 13 25 15 12 39 14 38 28 14 9 7550 5416 3972 7 3250 3250 5416 22 14 12 29 22 62 14082 13721 59 15077 21 27 14443 61 15887 20 15 21 57 
30 9 3 10 8 15 8660 9214 6143 7550 7 11 5584 9 10 17 12213 13960 10 6217 8 3 10 11102 20581 13 17 10832 7 17 43 0 3 11 5 36 33 42 25 36 75 9 13 28 18 60 11 10 18 31 12 10 4 12 16 25 19 71 43 38 11168 9 14 9 4188 8376 19 5416 44 9388 7 2 6499 9770 19 42 10880 29 30 9 7222 10110 5777 6217 30 11 12285 61 13 5 8 3 15 23 23 20 22 41 11448 15 10889 13123 
31 9 3 10 18 14443 7 6 3 5 9027 3 9 11 7539 12285 12 42 15 3553 5 14 8 20 18776 17 33 12 3350 6499 12 3 0 9 32 14 49 10 10 59 20 6217 20 14 55 15 8 7 26 5 9 12 6 10 5863 12 15526 65 18 8 16 5 9214 3 4747 32 28 9749 43 10110 2 4 11 8660 16 10 9770 7222 9 10832 38 21 11 4 4885 13 37 12006 9493 2 6 5 10 8655 17 7 9 8 8655 10 7818 13 
32 19 7 12 45 21 38 11 27 7994 7583 2792 17 17 14 69 14211 61 11 7 7 3611 11 52 48 20 26 16 10 13 28 11 9 0 9 24 10 11 18 20 22387 39 14 20 18707 34 12 8660 8097 7539 9 10 8 15 21 65 38 21 13 24 16 8660 28 4188 2234 23 20 5 25636 13 25 5 16 24 14 16 26 43 11 11 11 55 11 6 34 20 17 66 18 5305 12 1117 59 54 54 11727 12844 13 55 16 50 14798 
