set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
set K:= 1 2 3 4;
param V:= 4;
param cp:= 6000;
param dm:= 2.0;
param o:=
0 0
1 1100
2 700
3 800
4 1400
5 2100
6 400
7 800
8 100
9 500
10 600
11 1200
12 1300
13 1300
14 300
15 900
16 2100
17 1000
18 900
19 2500
20 1800
21 700
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 18 17 15 29 16 11 11 8666 12 25 10 8 5777 3 7222 4 7944 10 12 14 11915 
1 18 0 3 6422 9 7 10 7 7259 10 11 11 52 15 20 20 21 20 22 21778 28 23 
2 17 3 0 8 8935 4 5 5305 9 6980 9 24 12285 15 39 59 20581 39 21 44 21220 28 
3 15 6422 8 0 1 7 8 7 6860 16 10110 17 65 16 17 82 35 22748 24914 47 33 26 
4 29 9 8935 1 0 10 8 7550 8 34 11 9 15887 15 68 25 68 44 24914 28 25997 51 
5 16 7 4 7 10 0 3775 2 20 10 4663 9 6661 13 19 10 16609 12 13 17 13767 15321 
6 11 10 5 8 8 3775 0 4 4 17 3909 5 34 9 13721 12 18 38 40 33 24 22 
7 11 7 5305 7 7550 2 4 0 4219 1332 14 30 6 12 15 7550 15 22 11 14 12657 56 
8 8666 7259 9 6860 8 20 4 4219 0 9 3 4 15 8 22 11 12 21 23 57 20 18 
9 12 10 6980 16 34 10 17 1332 9 0 4 10 5 9 11554 12 53 9992 12 12879 14 16 
10 25 11 9 10110 11 4663 3909 14 3 4 0 5 4747 6 11 16 12 18 30 13123 34 28 
11 10 11 24 17 9 9 5 30 4 10 5 0 9 5 13 9 10110 10 11546 47 11769 16 
12 8 52 12285 65 15887 6661 34 6 15 5 4747 9 0 6 19 11 26 18 9027 21 13 42 
13 5777 15 15 16 15 13 9 12 8 9 6 5 6 0 6499 7772 5055 7 18 28 17 18 
14 3 20 39 17 68 19 13721 15 22 11554 11 13 19 6499 0 6499 7 7 8305 9 11 9388 
15 7222 20 59 82 25 10 12 7550 11 12 16 9 11 7772 6499 0 10 10 11 11 8666 11 
16 4 21 20581 35 68 16609 18 15 12 53 12 10110 26 5055 7 10 0 5055 38 7222 9 8666 
17 7944 20 39 22748 44 12 38 22 21 9992 18 10 18 7 7 10 5055 0 6138 6 4 4 
18 10 22 21 24914 24914 13 40 11 23 12 30 11546 9027 18 8305 11 38 6138 0 39 4333 8 
19 12 21778 44 47 28 17 33 14 57 12879 13123 47 21 28 9 11 7222 6 39 0 9 13 
20 14 28 21220 33 25997 13767 24 12657 20 14 34 11769 13 17 11 8666 9 4 4333 9 0 18 
21 11915 23 28 26 51 15321 22 56 18 16 28 16 42 18 9388 11 8666 4 8 13 18 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 50 50 49 45 44 47 47 42 43 41 42 40 41 39 41 39 42 47 43 43 44 
1 50 0 39 42 42 41 41 46 42 43 44 49 46 51 52 48 52 54 51 52 52 56 
2 50 39 0 47 44 40 45 41 43 42 47 46 46 51 47 47 48 50 50 52 51 52 
3 49 42 47 0 38 48 41 48 41 44 43 42 46 45 50 48 47 49 50 49 51 55 
4 45 42 44 38 0 44 41 44 41 45 43 42 46 45 46 48 46 49 50 49 51 50 
5 44 41 40 48 44 0 41 39 42 40 42 45 43 46 45 45 46 52 47 50 49 50 
6 47 41 45 41 41 41 0 40 39 41 40 46 43 44 45 49 45 47 48 48 49 49 
7 47 46 41 48 44 39 40 0 41 39 41 44 42 45 44 44 49 47 50 53 48 49 
8 42 42 43 41 41 42 39 41 0 42 39 44 42 43 43 48 48 46 47 47 51 48 
9 43 43 42 44 45 40 41 39 42 0 40 44 41 49 44 43 44 46 46 48 47 48 
10 41 44 47 43 43 42 40 41 39 40 0 41 41 46 42 43 42 45 45 46 46 47 
