set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
set K:= 1 2 3;
param V:= 3;
param cp:= 4500;
param dm:= 2.0;
param o:=
0 0
1 125
2 84
3 60
4 500
5 300
6 175
7 350
8 150
9 1100
10 4100
11 225
12 300
13 250
14 500
15 150
16 100
17 250
18 120
19 600
20 500
21 175
22 75
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 17 15 18 45 29 13 10 16248 17 48 10 5 10832 22 23470 24 22748 8 17 23 21665 58 
1 17 0 5 5026 35 35 7 16 23470 16 14 9 59 10 12 14 8 16 20 22895 20 28 21 
2 15 5 0 2 30691 34 6 16473 32 14519 13 20 13360 12 16 31 5026 25 17 39 12657 35 17764 
3 18 5026 2 0 29 26 9 19 22057 34 14798 25 65 16 8 23 7 11448 17590 42 21 30 22 
4 45 35 30691 29 0 2 29 12638 7 46 16 23 21303 17 153 40 115 88 28164 45 24869 41 31753 
5 29 35 34 26 2 0 23109 27 29 46 14082 20 21665 19 48 35 28758 44 32 41 25313 22026 32197 
6 13 7 6 9 29 23109 0 13 38 37 7259 5 42 7 13123 14 14 35 31 42 17 31 24 
7 10 16 16473 19 12638 27 13 0 6138 5584 25 27 10 8 23 24291 21 50 16 23 17098 41 23981 
8 16248 23470 32 22057 7 29 38 6138 0 14 10 13 30 13 64 28 25 48 28 120 21 20 56 
9 17 16 14519 34 46 46 37 5584 14 0 2 7 12 3 20661 45 78 25408 26 28886 24 18 25757 
10 48 14 13 14798 16 14082 7259 25 10 2 0 4 9749 1 24 41 22 29 40 27803 36 31 24425 
11 10 9 20 25 23 20 5 27 13 7 4 0 7 3 19 18 14798 22 15887 94 14877 17 21539 
12 5 59 13360 65 21303 21665 42 10 30 12 9749 7 0 9 69 90 74 46 10471 36 22 92 34 
13 10832 10 12 16 17 19 7 8 13 3 1 3 9 0 17869 19824 16752 25 38 107 34 31 48 
14 22 12 16 8 153 48 13123 23 64 20661 24 19 69 17869 0 6422 21 4 18776 21 9 23981 11769 
15 23470 14 31 23 40 35 14 24291 28 45 41 18 90 19824 6422 0 4 10 41 22 15915 39 25 
16 24 8 5026 7 115 28758 14 21 25 78 22 14798 74 16752 21 4 0 8376 71 20382 15 32109 25 
17 22748 16 25 11448 88 44 35 50 48 25408 29 22 46 25 4 10 8376 0 22387 28 8 30 38 
18 8 20 17 17590 28164 32 31 16 28 26 40 15887 10471 38 18776 41 71 22387 0 32 8216 13 15 
19 17 22895 39 42 45 41 42 23 120 28886 27803 94 36 107 21 22 20382 28 32 0 8 63 13 
20 23 20 12657 21 24869 25313 17 17098 21 24 36 14877 22 34 9 15915 15 8 8216 8 0 85 7 
21 21665 28 35 30 41 22026 31 41 20 18 31 17 92 31 23981 39 32109 30 13 63 85 0 34 
22 58 21 17764 22 31753 32197 24 23981 56 25757 24425 21539 34 48 11769 25 25 38 15 13 7 34 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 50 49 50 49 49 48 46 46 44 44 42 39 43 47 49 47 49 46 46 47 49 52 
1 50 0 40 41 52 52 40 52 49 46 45 48 45 48 49 45 47 52 49 53 51 60 59 
2 49 40 0 43 53 53 45 48 51 47 50 44 44 49 43 43 41 46 48 50 48 56 52 
3 50 41 43 0 55 58 43 54 52 49 47 46 46 47 46 42 40 45 49 51 48 61 56 
