set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
set K:= 1 2 3;
param V:= 3;
param cp:= 4500;
param dm:= 5.0;
param o:=
0 0
1 300
2 3100
3 125
4 100
5 200
6 150
7 150
8 450
9 300
10 100
11 950
12 125
13 150
14 150
15 550
16 150
17 100
18 150
19 400
20 300
21 1500
22 100
23 300
24 500
25 800
26 300
27 100
28 150
29 1000
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29:=
0 0 14 12 9 24 18 12 13 10889 16 37 13 21 10214 14 8216 12 13402 2 4 5 5107 12 3 14 92 11 98 13323 23 
1 14 0 11 7222 5 6 6 42 28200 37 33 27 111 38 29 43 37 31 18 16971 19 28 14 65 5 4694 11193 12 20 5 
2 12 11 0 6 3630 4 9 31830 33 27921 25 51 25966 28 52 104 27642 58 16 31 13721 22 10832 29 11193 14 10 17693 55 51 
3 9 7222 6 0 4 6 7 27 22616 49 20941 44 88 27 23 86 46 25129 11324 19 10 16 6 13 10 9 5773 12999 9548 7944 
4 24 5 3630 4 0 3 5 30992 29 111 27 32 25687 31 106 31 107 58 14211 18 12638 38 10471 14 8 10 7550 12638 10880 7944 
5 18 6 4 6 3 0 6499 68 115 122 27083 31 28200 38 36 31 29317 31 18 20 16248 20941 13721 33 15 10 19 16 50 39 
6 12 6 9 7 5 6499 0 44 52 112 24291 25 103 39 26804 32 42 58 28 28 15 32 13 14655 3 5 11 11 17 3611 
7 13 42 31830 27 30992 68 44 0 7539 5584 28 26 7 3 9 4663 3 9 11 26 27442 66 30330 10658 47 46 20 166 86 49 
8 10889 28200 33 22616 29 115 52 7539 0 4 3 3 4 7 2 5 6 4 10 61 16 10 36 7818 32 147 92 38 26 35 
9 16 37 27921 49 111 122 112 5584 4 0 5 3 2 4 2234 9 19 1117 12 16752 22 14 19824 12 30 48 24291 40 33 36830 
10 37 33 25 20941 27 27083 24291 28 3 5 0 1 1396 4 5 4 4 6 13 13402 29 19 16473 6422 26246 68 23 43 22895 129 
11 13 27 51 44 32 31 25 26 3 3 1 0 0 4 4 2 3350 4 7539 57 15356 11 17311 15 27 44 21 45 95 37 
12 21 111 25966 88 25687 28200 103 7 4 2 1396 0 0 3 12 10 13 6 7818 29 17 41 20 8 27642 35746 44 36469 24 33941 
13 10214 38 28 27 31 38 39 3 7 4 4 4 3 0 6143 1998 666 4 16 85 46 27 52 8 38 74 17986 37552 77 35 
14 14 29 52 23 106 36 26804 9 2 2234 5 4 12 6143 0 5584 26 4 8655 16 21 9214 18149 10 116 38 23 39 105 36 
15 8216 43 104 86 31 31 32 4663 5 9 4 2 10 1998 5584 0 2 6 12 18 19859 13 28 12 69 34 16209 35 22 36 
16 12 37 27642 46 107 29317 42 3 6 19 4 3350 13 666 26 2 0 4467 30 20220 22 13123 31 8 36 144 17 36108 18 34 
17 13402 31 58 25129 58 31 58 9 4 1117 6 4 6 4 4 6 4467 0 10889 22 21 14 83 11 30713 39718 25 45 54 47 
18 2 18 16 11324 14211 18 28 11 10 12 13 7539 7818 16 8655 12 30 10889 0 22 6217 4 8 444 64 26 12 28 59 97 
19 4 16971 31 19 18 20 28 26 61 16752 13402 57 29 85 16 18 20220 22 22 0 2 39 6 6 16971 35 14 19137 12 31 
20 5 19 13721 10 12638 16248 15 27442 16 22 29 15356 17 46 21 19859 22 21 6217 2 0 39 3 6661 20 16609 7328 19137 44 30 
