set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;
set K:= 1 2 3 4;
param V:= 4;
param cp:= 8000;
param dm:= 5.0;
param o:=
0 0
1 700
2 400
3 400
4 1200
5 40
6 80
7 2000
8 900
9 600
10 750
11 1500
12 150
13 250
14 1600
15 450
16 700
17 550
18 650
19 200
20 400
21 300
22 1300
23 700
24 750
25 1400
26 4000
27 600
28 1000
29 500
30 2500
31 1700
32 1100
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32:=
0 0 25 12 9 21 17 14 14 15321 19 64 17 25 24914 33 27803 40 30691 32 37 48 36469 74 53 41 134 28 107 26804 26 26 44 30 
1 25 0 9 10610 17 11 18 9 9027 12 11 6 27 2 3 4 20 6 10 9388 19 13 13 74 32 9027 9027 15 17 13 10 4 9 
2 12 9 0 5 8882 3 3 3331 5 4219 5 5 666 6 20 42 21499 27 9 17 12213 13 11324 48 22748 18 13 15077 65 60 7 6 3 
3 9 10610 5 0 10 8 10 8 9493 20 10610 16 25 11 13 52 51 15077 15915 32 26 19 20 35 37 18 17311 19545 20103 18149 11 19 37 
4 21 17 8882 10 0 11 11 8882 11 38 12 12 9104 14 61 19 104 33 15765 20 18874 35 18430 36 44 23 19318 21094 21761 20872 15 13545 11 
5 17 11 3 8 11 0 444 1 5 6 2220 2 1998 9 14 12 22337 13 8 8 10658 9104 9992 44 43 18 27 18 69 68 9548 8 5 
6 14 18 3 10 11 444 0 0 2 4 1776 2 10 8 11554 11 28 26 13 14 11 11 11 21303 23 17 17 20 21 17032 9770 7 1 
7 14 9 3331 8 8882 1 0 0 888 888 7 7 3 9 13 11554 22 26 7 7 10214 35 9548 21303 23 18 14 64 69 22 9992 7 4 
8 15321 9027 5 9493 11 5 2 888 0 0 1 2 7 9 23 11 22 15 7 25 9 9 18 19859 22 59 54 15 17 17 10214 8 888 
9 19 12 4219 20 38 6 4 888 0 0 1 3 4 7 11915 22 88 12638 7 6217 12 10 8882 25 19 19 13681 16 21 17311 13 7550 1110 
10 64 11 5 10610 12 2220 1776 7 1 1 0 2 3775 7 14 21 27 14 10 5329 17 14 7994 18415 18054 27 14 18 16473 67 42 9 1110 
11 17 6 5 16 12 2 2 7 2 3 2 0 2 5 11 9 20382 12 6217 26 9770 9 9104 41 19 17 12 17 60 17 8216 11 4 
12 25 27 666 25 9104 1998 10 3 7 4 3775 2 0 6 39 40 85 25 7772 16 13 40 12 26 21665 15526 25 14798 16 15077 8 6 3 
13 24914 2 6 11 14 9 8 9 9 7 7 5 6 0 4333 4333 21665 7 16 33 28 24 25 18 16 19 10471 13360 61 15 10 5416 6 
14 33 3 20 13 61 14 11554 13 23 11915 14 11 39 4333 0 1444 69 5 9388 9 19 12999 12277 21 58 7 6 9 42 10 10 4694 40 
15 27803 4 42 52 19 12 11 11554 11 22 21 9 40 4333 1444 0 22 4 15 8 12999 13 14 31 26 6 6138 9 14 13 10110 7 9749 
16 40 20 21499 51 104 22337 28 22 22 88 27 20382 85 21665 69 22 0 15887 65 15915 17 17032 18 21 16 55 9 6422 5 8 15915 64 84 
17 30691 6 27 15077 33 13 26 26 15 12638 14 12 25 7 5 4 15887 0 6499 8 12 10 33 14 10110 2889 5 8 19 15 13 18 11 
18 32 10 9 15915 15765 8 13 7 7 7 10 6217 7772 16 9388 15 65 6499 0 1 4747 3 4 10471 39 7 9 10 49 57 13681 10051 6 
19 37 9388 17 32 20 8 14 7 25 6217 5329 26 16 33 9 8 15915 8 1 0 6 11 4 10 9388 14 17 9772 13 28 15 10 7 
20 48 19 12213 26 18874 10658 11 10214 9 12 17 9770 13 28 19 12999 17 12 4747 6 0 8 2 5416 9 10110 11168 11727 56 34 20 30 9326 
