set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;
set K:= 1 2 3 4 5 6 7 8 9 10;
param V:= 10;
param cp:= 200;
param dm:= 5.0;
param o:=
0 0
1 10
2 30
3 10
4 10
5 10
6 20
7 20
8 20
9 10
10 10
11 10
12 20
13 30
14 10
15 40
16 40
17 20
18 20
19 10
20 10
21 20
22 20
23 10
24 10
25 40
26 10
27 10
28 20
29 10
30 10
31 20
32 30
33 40
34 20
35 10
36 10
37 20
38 30
39 20
40 10
41 10
42 20
43 10
44 10
45 10
46 30
47 10
48 10
49 10
50 10
51 10
52 10
53 20
54 40
55 10
56 30
57 40
58 30
59 10
60 20
61 10
62 20
63 50
64 10
65 10
66 10
67 10
68 10
69 10
70 30
71 20
72 10
73 10
74 50
75 20
76 10
77 10
78 20
79 10
80 10
81 30
82 20
83 10
84 20
85 30
86 10
87 20
88 30
89 10
90 10
91 10
92 20
93 40
94 10
95 30
96 10
97 30
98 20
99 10
100 20
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100:=
0 0 6 7 6 13 7 7 6 6499 9 23 9 21 8376 14 10051 14 9214 10 12 3 2792 7 5 4 17 5 19 4747 6 7 24 22 11915 23 13721 12638 14082 59 18 22 10 5305 6 7 7 6 6 26 6 7 9 7 9992 36 10 11 31 10 10 11 6143 20 3909 23 4 4 7 7 5 16 15915 6422 19 6 6 58 58 28 14240 16 13123 9 14 14 6 6 7 5773 6 9 10 64 16 14443 27 26 18 43 12 14 
1 6 0 1 1083 1 2 4 2 2528 3 5 4 29 7 8 9 8 8 9 8935 10 8 8 30 19 9027 8305 12 11 11 11 19 20 16609 15526 20 16609 18415 38 20 14082 27 17 12638 14443 16 56 12999 30 13360 29 61 13721 28 26 19 25 24 45 38 22748 17 48 10 14 10 15 10110 17 13 25 21 55 87 11915 4 22 21 78 81 20942 74 8 6 23 5329 5 20 6 4 4219 4 19 9388 17 14 8 8 5055 5416 14 
2 7 1 0 2 1083 2 2 2166 3 2528 4 7 6980 6 15 29 8097 15 9 17 9027 10 8666 16 10110 10 9 10110 38 46 10 22 17 16971 32 19137 21 23 19498 20 15 18 56 15 61 15165 14 55 31 27 17 18 14 29 87 25 23470 19859 47 19859 47 58 13 22 58 10832 12638 10832 18 13 92 22026 58 28 14 2 20581 20942 20 23 27 19 7328 7 7 22 5551 7 4885 19 6 16 9388 9027 17 14 7 7583 4694 6 13 
3 6 1083 2 0 1 0 1 1 1444 4 2528 5 28 7 8 29 16 6980 7818 17 9 6 7 7 10 8 7222 8305 7583 9749 9 32 59 61 56 35 15165 21 22 18 14 15 51 11554 13360 13 16 48 17 12 13360 28 12638 28 20220 74 88 23 44 37 44 12999 11554 11 14 12 12 9 26 11 92 28 17 24 46 1 41 20942 19859 20581 21303 38 15 6883 8 23 23 22 20 5 9 4 11193 21 10110 10 8 9388 6499 9 8305 
4 13 1 1083 1 0 1 1 722 2 6 3 3 6701 7 29 9 30 14 7539 10 7583 14 7583 7 11 10 7583 8666 8305 10110 9 16248 17 16 14804 18 19 17 18054 16971 55 12999 13 25 14 16 15 25 58 25 14 14804 13 45 23 21 23 38 91 19137 22748 15 24 10 13721 10110 15 13 14 12 23470 25 14 25 14 6 26 85 81 20942 21665 24 7772 7106 26 7 12 5773 5329 5 5 4219 10832 11 9388 33 8 11 12 6 7583 
5 7 2 2 0 1 0 1444 1 7 9 2528 3 7259 8 10 8 8097 7 9 9 6860 6138 6860 12 16 8 14 9 30 38 8666 19 58 15165 28 19 61 17 17 18 12638 48 12277 22 16 13 14 13 13360 15 13 17 15 27 19859 36 21665 18054 87 18 43 13 45 9 13 9 10832 11 13 11 28 24 13 28 12 1083 20220 82 22 82 84 19 9 8 25 5773 6 22 5107 20 5 8 23 10832 40 36 33 9388 6499 27 8305 
6 7 4 2 1 1 1444 0 1 1 3 1805 2 23 6 6701 6 9 12 14 15 8 9 8 6499 10 9 9 11 10 9749 8666 16 15 15526 29 22 15 16971 22 33 28 13 13360 12 14 29 15 12638 14443 12999 14082 14804 15 46 24 24 23109 39 29 24 26 14 16 11 56 10832 12277 13 56 14 27 23109 16 29 14 4 22 44 20942 88 45 22 16 15 14 8 6439 6 12 7 5329 6 11 10471 10110 11 9 9027 6 6 7583 
7 6 2 2166 1 722 1 1 0 722 1444 7 7 7 7 8 6701 8 13 7 8 6499 25 6499 5777 8 8 6 32 29 11 7944 16 56 59 15 66 14443 16609 34 16 12999 15 14 12 12999 17 14 11554 53 48 26 14082 49 88 20220 37 22 18415 24 18 22026 15 12 11 12999 9749 11193 12 26 11193 47 23 13721 45 11915 2 20942 87 21 27 43 19498 8 8 8 8 6217 7 6 7 5 4441 11915 12 10471 38 35 9749 8 7222 17 
8 6499 2528 3 1444 2 7 1 722 0 1 1 1 12 6 13 6 7 7 8 28 7 7 13 5777 9 29 26 8 7 9 7944 17 14082 30 53 66 18 20 17 15887 27 16 26 24 17 55 13 11915 14082 14 27 14443 12638 23 42 24 22748 38 25 19 22748 16 51 43 28 42 15 21 55 12 24553 29 18 48 14 5 22026 22387 21 45 23 26 9 8 7 14 27 6439 6 5773 7 6 12 11193 10832 38 9027 19 8 8 10 
9 9 3 2528 4 6 9 3 1444 1 0 2 1 6 4 5863 11 26 5584 8 6980 9 9 7222 8 8 10 6860 8 9 9388 10 15887 14804 61 28 19 19 16609 17332 16248 14443 55 15 16 14443 14443 14 14 30 12999 28 30 15 94 24 25 29 25 29 19859 29 15 27 46 19 11193 26 11193 58 25 25 24 15165 97 55 3 22 23109 28 22748 94 26 17 33 8 28 6883 6661 7 6 7 21 12 12 10471 10 35 38 7 6860 9 
10 23 5 4 2528 3 2528 1805 7 1 2 0 1 5863 4 8 11 8 7 12 6701 12 10 5416 4694 6499 12 6 8 5777 30 26 18 12999 53 15 19 13 61 15526 14443 14 25 25 11 26 13 14 14 14 12 25 13360 46 22026 81 23 22026 18415 22 23 44 56 12 10832 15 10471 12 13 13 11554 24914 24192 58 24192 25 14 22748 23109 22 28 23109 23 11 8438 16 7 7106 8 13 13 6 5551 27 16 12277 11 10110 12 35 10 19 
11 9 4 7 5 3 3 2 7 1 1 1 0 6 5 7 5 5863 6 5584 25 6860 7 6499 11 8 9 6 9 26 10 7222 30 55 14082 12999 16248 15 19 20 61 28 17 17 25 56 14082 17 12 16 49 14 14443 25 26 21 78 92 19498 29 19 92 15 17 14 15 45 26 14 14443 12638 25636 98 19 24914 17 7 23109 26 22387 23 23831 87 9326 8660 9 30 7550 7328 28 13 12 6 51 12277 46 42 10 12 8305 32 36 
12 21 29 6980 28 6701 7259 23 7 12 6 5863 6 0 3 3 8 6 7 3909 6 11 37 10 9 9772 9214 17 9214 8 9772 8 23 21 35 62 38 16 18 37 17 17 59 59 13960 19 31 15 13960 17 16 15 31 16 22895 21220 20103 28 79 23 79 45 21 17 57 16 17 30 28 18 14798 31 24012 17 96 32 31 22895 23174 22 22895 94 27 16194 17 58 27 13960 14 13123 14 26 24 47 11 12 11 11 20 38 8376 9 
13 8376 7 6 7 7 8 6 7 6 4 4 5 3 0 2792 1396 2792 1 4 9 15 13 13 6 7 13 5584 6422 22 7 6 14804 15 17 15 19 25 58 30 15 12844 25 15 46 51 50 13 11 50 11 24 14 12 23 18986 17590 20103 19 22 17311 22 14798 54 12285 16 12 13123 12006 14 13 23733 26 60 46 14 7 27 25 27 22 22 20661 63 59 16 13402 13 16 25 49 13 45 13 12 12006 11 13 10889 10051 9214 19 
14 14 8 15 8 29 10 6701 8 13 5863 8 7 3 2792 0 1396 2 3 3350 2 12 9214 9214 10 39 9 8 9 34 10 9 18415 66 16971 15165 75 15526 18 20 20 16 19 60 57 61 15356 14798 14 19 16 30 19 28 46 21499 25 29 80 22616 22 90 17032 20 18 67 18 15356 16 21 61 51 27 18 25 32 8376 47 23733 92 26 97 22337 67 18 19 16 15 14519 15 17 13402 13 14 15 48 11168 11 10610 11 12 12 
15 10051 9 29 29 9 8 6 6701 6 11 11 5 8 1396 1396 0 2 2 4 1 8655 9 10 15 17 8 6980 8 9 9 6980 18 14804 30 13360 16971 14 19 16 58 18 13960 55 12844 57 13960 55 12844 14 50 13402 28 25 27 23 19 24 18986 21 19 85 16194 60 17 18 54 18 13 17 16 25129 24 21 97 17 8 93 23 45 23 26 28 19 32 15077 14519 14519 14240 17 13 52 14 13123 14 12564 13 12 11 12 11 20 
16 14 8 8097 16 30 8097 9 8 7 26 8 5863 6 2792 2 2 0 2792 12 1954 10 9493 12 10 10 37 8 9214 8 10 8376 72 66 66 14804 75 30 35 71 18 18 17 19 14240 17 61 30 17 15356 28 14798 61 13960 93 22 41 23 80 92 22 45 22 20 30 34 30 15636 14519 21 15 52 25 17869 101 33 18 30 27 47 24012 24570 25 69 21 63 15077 60 15077 14 13960 17 16 13123 12564 12564 13 22 12 22 12 10 
17 9214 8 15 6980 14 7 12 13 7 5584 7 6 7 1 3 2 2792 0 838 2 8 8 28 7 6980 6701 6 7 11 9 6 29 13 14 14 15165 14 14 14082 12 13 16 12564 12 15 14 49 23 14 46 12006 16 22 83 77 36 20382 20 40 20 40 19 28 13123 60 26 14 16 15 17 28 24012 32 30 16 8 46 26 28 46 23174 27 16752 16 30 29 15 16 17 27 51 12285 13960 13402 16 12285 11727 12006 14 10331 21 
18 10 9 9 7818 7539 9 14 7 8 8 12 5584 3909 4 3350 4 12 838 0 6 8097 8 7 6422 29 7 6 7 23 28 5584 14443 13 25 22 19 45 15 17 13 55 13123 13 13 13402 13123 14 47 16 12 25 51 14 42 19545 23 21 18149 41 18 20103 32 30 13681 15 13402 18 13 19 13960 25 31 18 25 15356 8655 95 24 23174 26 24012 22337 35 16752 20 15356 30 14798 14519 28 55 26 18 28 16 52 12564 12844 12006 11 11448 
19 12 8935 17 17 10 9 15 8 28 6980 6701 25 6 9 2 1 1954 2 6 0 12 35 9 8 8655 16 15 8097 8 17 8 16 16 29 14 17 13 17 61 17 59 16 14 13 14519 18 17 52 57 14 15 16 14 89 42 39 22057 19 21778 24 43 34 18 59 18 14 15356 14240 20 30 29 102 35 32 32 9 24 98 23733 97 31 46 73 22 18 31 15636 61 59 29 18 13681 16 16 14 13123 12564 50 13 22 11168 
20 3 10 9027 9 7583 6860 8 6499 7 9 12 6860 11 15 12 8655 10 8 8097 12 0 2 1 1396 2 1396 1954 1954 9 6 3 18 7944 17 32 10 10 42 45 11 22 10 5 4188 7 6 10 4 7 4 6 6 4 10436 11 16 11 32 11 8 40 7818 28 6 15 11 6 11 8 7 18986 18428 17 18149 8 8 17032 21 16473 19 19 20 10 37 8882 17 8 9 16 29 13 6883 72 35 21 19 15 18 27 16 19 
21 2792 8 10 6 14 6138 9 25 7 9 10 7 37 13 9214 9 9493 8 8 35 2 0 1 1 2 3 6 8 2 3 3 10 8 9027 8305 10832 11 12 11554 10832 7 6 6 5 8 8 22 9 12 6 11 6143 5 22 11 8 10658 8 42 8 12 9 7 6422 9 7 27 7 29 7 76 18707 11 20 31 27 17311 17311 16752 17 19 32 10 37 36 8438 32 16 31 7328 13 7 17693 17332 16609 30 16 64 16 53 15 
22 7 8 8666 7 7583 6860 8 6499 13 7222 5416 6499 10 13 9214 10 12 28 7 9 1 1 0 838 1 1 1 1396 2 4 2234 17 30 10 30 13 11 40 12 13 26 6 11 9 8 12 7 19 6143 5 6 25 5 22 10 11 10658 8 13 34 10436 8655 8 6980 32 6422 9 8 8 8 22 77 18 21 9 7583 36 18 17311 69 35 16473 21 20 10 8882 17 8216 33 31 14 8 74 17693 68 15887 15165 65 13360 55 17 
23 5 30 16 7 7 12 6499 5777 5777 8 4694 11 9 6 10 15 10 7 6422 8 1396 1 838 0 1 2 1 1396 2 2513 2234 9388 17 10 32 10832 11 14 22 10 8 27 26 11 28 6980 6422 5584 28 5584 26 6980 22 11546 13 9 11 10 11102 18 22 12 8 7259 8935 7 30 8 8376 7259 79 19265 20 21 11 14 20 18 70 18 36 19 12 11 37 8882 8438 8216 8216 10 14 7106 20 17 16248 15165 16 15526 13 26 16 
24 4 19 10110 10 11 16 10 8 9 8 6499 8 9772 7 39 17 10 6980 29 8655 2 2 1 1 0 1 3 558 1396 2 2 9 8 9 6 9027 14 18 9388 18 25 7 21 19 7 11 5026 17 6 4188 5026 11 4188 13 11 11 10 17 13 8 13 11 16 7259 8376 9 9 13 9 9 25 79 9493 24 9 18 20 37 22 73 23 17032 44 10436 20 11 18 9 18 17 10 9 19498 21 20 21 18 71 59 30 18 
25 17 9027 10 8 10 8 9 8 29 10 12 9 9214 13 9 8 37 6701 7 16 1396 3 1 2 1 0 1 1 1 1396 1 16 9 14 6499 19 9 9027 12 9 6701 12 7 6 8 8 6 5 6143 4747 6 25 4747 22 20 36 44 9 43 11 11 12 8376 7539 8655 14 7539 9 32 29 41 20 39 20 36 8305 23 18428 73 18 20 35 11 10436 12 9548 9104 8882 8882 9 10 9 19137 18415 18 16609 15887 17332 14 15 15887 
26 5 8305 9 7222 7583 14 9 6 26 6860 6 6 17 5584 8 6980 8 6 6 15 1954 6 1 1 3 1 0 1 558 8 1396 11 8 16 7 40 10 39 42 38 7259 9 13 5863 6980 6980 13 5584 14 6 6422 8 11 47 10658 12 11546 9326 11324 10 22 12 18 8 37 30 16 29 8935 7818 41 20103 13 20 12 7944 24 19 18 74 37 70 14 21 12 10 9104 10 18 8438 8 7772 20 20 17 18 31 66 17 18 15 
27 19 12 10110 8305 8666 9 11 32 8 8 8 9 9214 6422 9 8 9214 7 7 8097 1954 8 1396 1396 558 1 1 0 838 838 1 7583 8 9 5777 17 6860 8666 9 35 7 7 7 7 13 6422 12 5026 25 9 7 8 5 11324 41 18 11 10 22 11 11 12 35 8097 9 8 8 7259 9 8 21 25 10 25 19 18 39 24 75 19 19 20 13 11 21 12 19 9 12 36 16 33 22 24 18415 17 66 35 30 19 18 
28 4747 11 38 7583 8305 30 10 29 7 9 5777 26 8 22 34 9 8 11 23 8 9 2 2 2 1396 1 558 838 0 6 2 8305 8 9 7 38 7 10 12 11 8 8 8 8 7259 28 6701 12 28 6 26 6980 5584 15 11 11 11546 9548 14 10 11 10051 12 10 11 16 9 7818 9214 8 42 23 22 82 10 9 77 21 21 76 38 18149 13 10880 10 9992 38 9 10 11 8 8 19137 74 17693 17 15887 16971 14443 29 16 
29 6 11 46 9749 10110 38 9749 11 9 9388 30 10 9772 7 10 9 10 9 28 17 6 3 4 2513 2 1396 8 838 6 0 6 6 10 6 19 7583 6 8 8 8 14 26 8 21 7 6143 6 20 6 19 20 22 4188 14 40 9104 11 9 13 9 42 11 37 17 19 8 17 9 36 32 27 85 42 41 13 10471 19824 19545 39 19265 19265 18428 24 14 11 22 13 40 10214 9548 36 9104 26 41 19859 74 18054 24 18 21 71 
30 7 11 10 9 9 8666 8666 7944 7944 10 26 7222 8 6 9 6980 8376 6 5584 8 3 3 2234 2234 2 1 1396 1 2 6 0 8 26 7 22 36 26 17 18 32 9 8 15 7 30 9 8 12 29 7 13 8 11 24 22 12 47 39 47 9548 14 12 20 9214 10331 17 9214 17 9772 18 25 21499 11448 42 42 9388 80 80 22 19824 19824 18986 12213 46 14 10658 41 11 11 10 10 10 40 39 38 35 68 18054 19 15526 16609 
31 24 19 22 32 16248 19 16 16 17 15887 18 30 23 14804 18415 18 72 29 14443 16 18 10 17 9388 9 16 11 7583 8305 6 8 0 4 7 4 7 5 4 16 6 9027 18 10 33 10 9 8 29 6 7 12 5 22 16248 14 13360 61 26 16 25 16 14443 16 14443 55 27 13360 27 12638 13 61 31 15526 59 17 16609 28886 31 28164 111 54 34 25 23470 46 91 21303 20942 24 26 21 20 27081 53 26 27 27 25275 25 22748 30 
32 22 20 17 59 17 58 15 56 14082 14804 12999 55 21 15 66 14804 66 13 13 16 7944 8 30 17 8 9 8 8 8 10 26 4 0 1 4 3 3 4 4 3972 38 9 11 8305 17 10 7583 7222 7222 7 7 8 11 35 62 29 17 14 32 17 15526 30 14443 14443 56 27 13 13360 13 51 38 61 32 37 19 31 116 28 28 28 110 34 24 91 45 28 82 26 20942 25 18776 77 104 103 24914 23470 26 97 24 87 22748 
