set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;
set K:= 1 2 3 4;
param V:= 4;
param cp:= 400;
param dm:= 2.0;
param o:=
0 0
1 10
2 7
3 13
4 19
5 26
6 3
7 5
8 9
9 16
10 16
11 12
12 19
13 23
14 20
15 8
16 19
17 2
18 12
19 17
20 9
21 11
22 18
23 29
24 3
25 6
26 17
27 16
28 16
29 9
30 21
31 27
32 23
33 11
34 14
35 8
36 5
37 8
38 16
39 31
40 9
41 5
42 5
43 7
44 18
45 16
46 1
47 27
48 36
49 30
50 13
51 10
52 9
53 14
54 18
55 2
56 6
57 7
58 18
59 28
60 3
61 13
62 19
63 10
64 9
65 20
66 25
67 25
68 36
69 6
70 5
71 15
72 25
73 9
74 8
75 18
76 13
77 14
78 3
79 23
80 6
81 26
82 16
83 11
84 7
85 41
86 35
87 26
88 9
89 15
90 3
91 1
92 2
93 22
94 27
95 20
96 11
97 12
98 10
99 9
100 17
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100:=
0 0 3 4 6 11 6 2 6 7259 9 22 15 8 2443 14 10832 8 6661 4 13 9 3997 12 10 8 29 3 4 1675 9 7 8 15 5329 16 9104 14804 4663 61 9 10 12 9027 15 12 9 10 14 30 17 5 7 4 888 25 8 7 33 2 5 4 5551 22 7550 66 14 9 19 7 3 5 8660 4885 6 6 7 17 21 14 6980 7 5995 7 12 11 5 9 5 4219 2 14 11 16 4 2665 6 7 5 19 4 5 
1 3 0 9 3909 14 14 11 6 8655 5 7 9 18 6 17 20 15 14 7 10110 4 10 14 66 15 13360 5305 3 4 7 4 4 9 2665 5329 7 14443 12638 40 16 5329 30 18 17693 16609 11 44 11915 16 14082 3 11 4188 5 9 12 15 17 10 23 10110 17 27 9 14 8 7 18415 6 2 3 5 48 46 12999 55 3 4 18 18 5305 12 8 8 49 12999 17 29 7 4 7222 14 24 11915 12 13 12 7 12638 11193 27 
2 4 9 0 9 4441 6 4 10051 13 10436 10 36 6422 2 15 19 5551 14 8 34 10880 3 2665 10 9493 7 4 5107 22 42 10 10 12 8660 21 12213 24 4 11554 6 2 3 17 7 35 9772 13 68 23 42 10 11 8 4 28 8 3997 1805 4 3331 11 21 9 23 91 14433 12657 7550 10 7 35 12213 11 2 3 4 7818 8655 10 12 10 9 10051 9 7 17 6883 2 7994 18 14 18 2887 3997 6 5 4 2220 3553 5 8 
3 6 3909 9 0 8 12 12 10 12564 7 8097 29 12 10 19 68 28 14519 9772 30 6 7 10 12 5 7 5026 5584 4467 2513 6 14 35 6 12 9 19859 15 29 10 8 14 65 18776 19137 14 18 69 15 19 2234 6 7818 8 4467 26 37 18 15 22 22 13123 9214 11 20 9 7 11 3 5 23 6 10 9 37 9 3 558 1998 838 2234 4 22 11448 16 50 64 42 32 8 18 13 11168 23 9493 11 10 10610 12006 14 12564 
4 11 14 4441 8 0 14 9 12844 16 36 19 26 4188 6 59 13 50 28 11168 25 10214 4 3109 3 6 3 3909 6217 6143 6422 15 14443 21 7 7994 10 30 10 18776 1998 13 3997 12 26 16 16 18 43 58 49 8 8438 10 9 3 2 2 17 17 9493 11168 13 35 20 24914 12657 15 5 5 12 14443 12 2 3 3 9 8 26 28 7818 4747 9 13402 12285 50 12 28 5995 15526 7 19 11168 9214 11 6439 27 9 8 20 10 10331 
5 6 14 6 12 14 0 2220 11 15 44 11915 14 9772 4 9 12 3071 3 3 12 10214 8655 10051 26 28 16 17 5 29 56 14082 12 62 9548 24 15 46 3 9 15 5551 39 7222 20 7 3 7 10 6143 18 10 12 6 6 11727 27 11727 8666 19 2 2 2 42 14 17 15 11991 20 11 10 15 14 9 11 11 10610 10051 45 12 50 46 10 6 2 4 2234 4 15 8666 11 16 6 6 1675 10 10 8 2887 2513 7 3350 
6 2 11 4 12 9 2220 0 6 11 37 6661 13 28 2 7944 9 5 9 6 22 10 6 7 8660 12 10 7 4 6 11168 7328 5 9 7772 21 14 13 2443 14 17 7 6 6499 10 8 11 9 11193 6980 15165 7539 7994 4 5 10 11 7328 14 3 2 2 3 8 9 69 13101 10880 13 36 5 7 10880 6 6 7 13 7 17 9326 40 17 9 11 7 6 3 5329 3 10 1 8216 4 2 1998 666 2 1 1998 2 1 2887 
7 6 6 10051 10 12844 11 6 0 3350 10051 16 17 10 9 16 16609 9 14 3 3 8097 44 13123 15915 15 17 9 20 27 15 6143 3 27 37 14 50 5584 8376 34 15 8935 17 15 19 13360 6 6 3630 8 25 15 8376 10 28 11727 28 14 14082 9 7 4467 8 2 6 7539 13681 10331 23 21 4747 10 11 12006 22 12564 13 8376 37 11 13 21 9772 1 4 7 10 9772 10 2 6 6 8655 7818 8 6422 29 26 8097 9 6701 18 
8 7259 8655 13 12564 16 15 11 3350 0 27 8 7 22 9 24 15 6 5 3 19 11 13 27 16194 17 66 41 7 9 15 9493 7 10051 24 63 64 6 9 14 16194 19 17 25 30 13 7 3 3630 2513 8 21 11448 4747 8 27 20 14798 27 10 6 3071 6 22 35 19 69 17 38 51 8 8097 18 16 23 14 28 10889 12006 14 26 13 16 2 2 3 12 28 8376 5 4747 11 8 7 5584 6143 27 5584 15 7 6 8 
9 9 5 10436 7 36 44 37 10051 27 0 7 10 6 10 23109 43 53 12879 14 8882 3 11 11102 15 6 11 6883 6 7 4441 4 5551 4663 7 5 2 15 11769 26720 10658 8438 48 23 29 22748 14798 15 12 23 10880 7 3 10 30 8 10 13 24 11 10880 13 12 14 26 12 3997 6 12435 19 10 4 2 9770 39 42 11 4 3775 3 2665 20 2 23 52 12 48 14655 10880 7 8 7 51 11 13 9548 11 41 44 12 10658 14 
10 22 7 10 8097 19 11915 6661 16 8 7 0 4 8935 8 23 40 20 18 12 5416 7 30 18776 21665 12006 38 10 6 6980 42 14 4 3611 21 10 9 10 59 21665 20220 9 39 35 21 35 9 9 10 6 10 12 4219 19 6439 46 22 19137 17332 8 17 21 58 2 3250 9 7994 5 30 9 5055 2889 6217 68 16248 35 75 7259 7818 7 10 9493 6 7 7818 25 14 17693 10 6 11 3 15526 27 17 7328 8 11915 10 58 14 31 
11 15 9 36 29 26 14 13 17 7 10 4 0 19 19 25 22 16609 15 6980 10 5551 20 21665 50 19 28 16 13 51 20 7222 12 22 7772 10214 9548 7 20 28 95 32 28 24 45 74 8376 8 5 4 20 12 6439 13 15 18 87 90 19498 19 15 45 15 4 4 5 38 13 34 15887 8666 6860 33 25 19137 26 44 13360 16 9548 14 16248 32 5026 7818 14 62 17693 16971 20 22 8 18 62 14804 55 59 14 18 15887 56 68 
12 8 18 6422 12 4188 9772 28 10 22 6 8935 19 0 6 62 52 47 25 8376 31 7 17 8 9 4188 5863 4 4188 3 4188 7 9 13 8 22 14 19 9 39 7 4 32 49 14804 20 25 14 16609 12 22 3 10 7 3630 2513 4747 8 42 4 35 18 14 11 46 19 12 17 19 2 4747 8 7328 5 20 12 27 1954 2234 4 3909 7 5 10331 11 44 20 13681 8 8097 7 21 21 34 9 8 8 9 16 38 8655 11 
13 2443 6 2 10 6 4 2 9 9 10 8 19 6 0 7583 7222 4441 6 10 55 19 7 9 7 10 16 4188 3331 18 11 8 5995 11 10 13 14 32 10 23 8 2220 9 6 33 30 30 11 14 35 18 15 9 6 2 7539 7328 5773 5 1 1998 4 3997 29 9770 22 14 11324 9326 8 5 6883 12 17 7 4 5 9 9 11 10 8 8438 29 22 5 3109 6 2 12 9 10 14 2 3 888 1 2 1332 2443 2220 6 
14 14 17 15 19 59 9 7944 16 24 23109 23 25 62 7583 0 5416 16 10 10832 18 28 11193 10832 18 79 18 13 13 53 21 22 15887 90 20220 24192 105 18415 4 4 20 10 12 13 14 7 10471 14443 17 19 23 35 26 25 22 16609 22 17 25 9388 6 35 5055 22 27 97 37 25636 21 23 62 36 28 12 10 22 12277 33 18054 90 22 71 21303 53 11 9 5 5 5416 17 12 21303 3 5 6 29 6138 6 5055 4 7 4 
15 10832 20 19 68 13 12 9 16609 15 43 40 22 52 7222 5416 0 11 16 26 21 22026 8 7 18 33 14 10471 13 15 20 19859 19 23109 38 22026 24553 22 8 9 43 10 4333 13 2528 30 14443 74 19859 18 97 16248 40 27 12 14 13 10 2528 8 8 45 9388 77 29 29 113 32 13 17 17 18415 25 9 26 7 7 59 16 40 18 16 25 18 25 11554 7944 10471 4694 21 11 90 8 6499 9 7944 8 9 6 8 9 12 
16 8 15 5551 28 50 3071 5 9 6 53 20 16609 47 4441 16 11 0 3071 25 14443 13 9772 13 15 16 61 10 7106 10 16 18054 55 79 47 14433 61 29 6 22 16 7 11 7 7583 2 20 16 16 8935 35 12564 48 7818 26 13 30 12 33 23 3 8 1 18 37 41 34 14433 16194 17 14 32 15 10331 38 20 22 15 15 27 15077 13681 14 30 6 12 1675 7 3997 13 4663 23 2 3350 2234 3775 4 7 4 5 4 2 
17 6661 14 14 14519 28 3 9 14 5 12879 18 15 25 6 10 16 3071 0 5026 14 13 13 49 17 16752 16752 11 8 20 21 17 25 18 13 18 14877 14 5 9027 16 8 15 9388 12 7 2 20 19 7 55 12564 14 14 28 58 32 14240 13 14 5 7 3 24 15887 69 32 14 23 14 16 16 14211 25 14 14 13 25 15 17 31 14240 15 5305 3 3 7 3 6 14 9 65 3909 5026 3909 6 4441 4747 4663 6 4188 9 
18 4 7 8 9772 11168 3 6 3 3 14 12 6980 8376 10 10832 26 25 5026 0 22 9772 9 11 13681 50 14 7 4 23 49 7818 4467 9 20 26 17 29 6 17 15 28 10889 10 15 9749 3909 6 22 5 9 15 38 2 11 10610 16 12 10832 12 4 1675 9 10 8097 10 15356 15 16 13 5026 6 16 11 9 10331 11448 32 9 11727 11 10051 10331 4 1675 4 5026 15 6422 3630 4 32 12 6 9 4 18 3630 5305 5305 4 6143 
19 13 10110 34 30 25 12 22 3 19 8882 5416 10 31 55 18 21 14443 14 22 0 8 72 23 25 19859 46 30 10110 14 38 10 6 8 17 12 11 5 16 79 29 62 24 17 21 16609 8 6 12 9 5 14 8 6 52 38 43 22026 18 14082 16 19 26 4 22 7 11 7994 27081 21 18 9 37 39 23 40 21 14 59 10214 62 21 18 15 8 12 27 15526 62 19 19 8 14804 15 14 12 13360 11915 58 16 25 15165 
20 9 4 10880 6 10214 10214 10 8097 11 3 7 5551 7 19 28 22026 13 13 9772 8 0 40 14 13323 10 10880 7772 5773 25 13 2 8 2220 7 20 4 11 45 104 12 36 26 21 23470 28 15 26 8 12 9 5 2 8 7550 10 20 13 78 10 10 36 11546 20 4 14 9 2 28 7 5 2665 2665 22 10658 12 12 5107 6 4441 5 7 4 9 46 10658 23 14 12 10 31 6 11991 43 22 12 12 10 12 23 11 15 
21 3997 10 3 7 4 8655 6 44 13 11 30 20 17 7 11193 8 9772 13 9 72 40 0 3 5 8 9 11 20 5 8 16 14 18 7106 8882 10658 26 8 15165 3775 2 3 9 10 15 15 57 37 25 28 15 8438 8 6 5 4 2443 5 9 7 10 10 16 18776 26 16 47 7 23 11 52 10880 1 1 6 8 6143 6701 7772 8 6 16 11 39 39 8097 46 8 53 5329 35 8 6422 7539 4441 9 7 18 9 28 8 
22 12 14 2665 10 3109 10051 7 13123 27 11102 18776 21665 8 9 10832 7 13 49 11 23 14 3 0 2443 10 5 6 6883 8 21 18054 32 85 12 44 16 29 29 16 4 13 1 15 17 15 27 20 85 14519 28 10 43 10 10 6 6 1776 5 5 30 10051 9772 21 22026 105 15321 17 6 10 17 18 52 3 2 1 888 18 9 9770 44 16 9992 26 23 12 8655 23 3997 66 28 42 10 28 8376 22 5329 7818 20 7818 32 9 
23 10 66 10 12 3 26 8660 15915 16194 15 21665 50 9 7 18 18 15 17 13681 25 13323 5 2443 0 9 8 8 8882 12 10610 20581 18776 48 12 44 13323 34 13 36 2 6 12 45 23 64 16473 18986 24914 70 28525 47 11769 52 6883 8 4 2 10 6217 21 26 16 22 24914 29608 16 60 3 9493 16248 78 13989 6 4 3 4 11 11 42 12 18 12 18 16 57 11727 14519 6439 19859 11 48 11727 11 11 7994 7772 12 7550 11 22 12 
24 8 15 9493 5 6 28 12 15 17 6 12006 19 4188 10 79 33 16 16752 50 19859 10 8 10 9 0 5 11 8376 6701 2 10 13 16 6 4 6661 48 26 24192 13 29 13 68 75 23 33 17869 87 17 24192 5863 12 10610 10 3 4 7 29 10 13 17 19 26 13960 23470 12 11 17 3 10 12 29 7259 9 8 16 5 8 5 17 3 4663 57 14240 30 16 35 11 23 22 16 16 12285 15 12 14 13 47 54 25 15 
25 29 13360 7 7 3 16 10 17 66 11 38 28 5863 16 18 14 61 16752 14 46 10880 9 5 8 5 0 6 9 9 6143 17 33 26 15 7772 20 33 12564 28 2 5551 12 16 18 24 21 19 27 17032 27442 10 36 12285 13 7 3 12 12 26 15 14 18 19859 22387 27081 25 12213 4 23 55 32 11 16 5 18 3997 9 6980 28 8 6 16 16 14798 19 13681 17032 8216 18054 10 26 16 12006 13123 9 8882 12006 8882 13 13 13123 
26 3 5305 4 5026 3909 17 7 9 41 6883 10 16 4 4188 13 10471 10 11 7 30 7772 11 6 8 11 6 0 5 2234 25 8376 9 12 10 7 35 23 29 68 26 1954 8 19 12277 13360 10889 26 16248 21 19 4747 7 12 9 3350 7 5305 7944 2513 7 16 12 20 12 79 44 19 37 3909 5026 15 8660 5 4 6 5305 4 4 6 23 7 23 12 17 12 8 11727 6 16 5305 11 8655 7 8 5 6 13 23 9 9 8 
27 4 3 5107 5584 6217 5 4 20 7 6 6 13 4188 3331 13 13 7106 8 4 10110 5773 20 6883 8882 8376 9 5 0 1675 8097 6 2665 8 6 7328 16 13721 5551 17 33 3 8 12 17 25 8097 18 11193 28 29 5 6 2 1998 27 14 7 11 6 6 4 8 19 6661 15 10 8 10436 6 2 4 10 6 7 13 14 8 6 25 6 6 6 7 6 11 7 17 5 4 9 12 26 5 6 3331 4 16 9 11 6 7 
28 1675 4 22 4467 6143 29 6 27 9 7 6980 51 3 18 53 15 10 20 23 14 25 5 8 12 6701 9 2234 1675 0 26 13 5026 10 5 7 31 16 8 22 11 4 9 12 17 13360 39 11168 27 35 17 12 4885 4188 2 5 8 7539 9388 4 7 7 8655 9 12 19 20 8 11448 4188 3 11 8 12 22 7 8 10 4 6 21 8 4885 8 7539 8 8097 46 6 7 5 9 9 6701 29 5026 6 5863 6143 7539 13 8 
29 9 7 42 2513 6422 56 11168 15 15 4441 42 20 4188 11 21 20 16 21 49 38 13 8 21 10610 2 6143 25 8097 26 0 34 9 22 3 12 5107 26 15 25 9 16 46 23 81 24 16194 17 82 14 91 19 19 10331 10 16 5305 9 16 11 13 52 17 48 25 43 8 15 11 9 30 10 23 35 18 12 9493 4188 3071 4 2513 2513 3331 27 17 15 29 22 48 10889 10610 46 15077 16 27 11168 47 12285 15 15 16 57 
30 7 4 10 6 15 14082 7328 6143 9493 4 14 7222 7 8 22 19859 18054 17 7818 10 2 16 18054 20581 10 17 8376 6 13 34 0 4 14 3 22 20 55 32 47 75 9 21 36 24 78 14 12 23 31 15 8 2 12 13 20 19 71 69 30 14443 15 18 12 5416 10832 12 3331 44 7259 9 2 3997 15887 31 68 17693 22 23 5 5584 7818 3553 7818 38 19 15887 79 11 6 6 4 19 30 30 16 17 53 9104 20 14082 16971 
31 8 4 10 14 14443 12 5 3 7 5551 4 12 9 5995 15887 19 55 25 4467 6 8 14 32 18776 13 33 9 2665 5026 9 4 0 12 20 8 30 14 13 77 20 6217 33 18 71 19 10 9 33 5 12 9 4 10 4663 9 15526 65 29 6 21 9 11915 4 6138 42 17 5995 43 7818 3 5 7 14082 27 16 15887 5584 7 6661 29 16 7 4 6143 21 48 15526 7550 2 5 6 13 11193 22 6 7 10 6883 13 10110 16 
32 15 9 12 35 21 62 9 27 10051 4663 3611 22 13 11 90 23109 79 18 9 8 2220 18 85 48 16 26 12 8 10 22 14 12 0 5 15 6 14 23 25 22387 39 22 26 24192 43 15 10889 10471 7539 12 8 5 15 17 50 38 21 21 19 21 14082 36 5416 2889 30 12 3 25636 10 32 6 10 39 23 26 43 34 9 7 8 42 7 8 42 32 23 85 14 6860 10 1444 77 69 69 9326 10214 17 44 20 65 19137 
