set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 35;
param dm:= 5.0;
param o:=
0 0
1 19
2 30
3 16
4 23
5 11
6 31
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15:=
0 0 4 6 12 10 6 3 6 11554 9 22 8 21 6439 8 10471 
1 4 0 4 6860 4 8 5 5 7222 9 2 5 23 6 9 8 
2 6 4 0 5 6143 5 3 2234 5 3909 3 16 5026 3 13 26 
3 12 6860 5 0 8 11 11 8 2528 17 4333 18 13 7 13 22 
4 10 4 6143 8 0 16 6 8097 10 40 4 2 4694 9 64 4 
5 6 8 5 11 16 0 2665 4 36 19 7259 17 12638 7 4 16 
6 3 5 3 11 6 2665 0 3 16 18 3553 7 23 4 4663 6 
7 6 5 2234 8 8097 4 3 0 6138 2792 20 40 8 3 5 8655 
8 11554 7222 5 2528 10 36 16 6138 0 12 6 11 12 5 22 8 
9 9 9 3909 17 40 19 18 2792 12 0 9 15 12 2 5416 26 
10 22 2 3 4333 4 7259 3553 20 6 9 0 6 3611 5 12 9 
11 8 5 16 18 2 17 7 40 11 15 6 0 7 13 23 4 
12 21 23 5026 13 4694 12638 23 8 12 12 3611 7 0 9 61 9 
13 6439 6 3 7 9 7 4 3 5 2 5 13 9 0 7583 10471 
14 8 9 13 13 64 4 4663 5 22 5416 12 23 61 7583 0 16609 
15 10471 8 26 22 4 16 6 8655 8 26 9 4 9 10471 16609 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15:=
0 0.0 0 0 0 0.37 0 0 0 4.05 0 1.23 0 1.79 1.79 0 3.67 
1 0 0.0 0.2 2.41 0.18 0.4 0.2 0 2.53 0.43 0.12 0 1.51 0 0 0.66 
2 0 0.2 0.0 0 2.07 0 0 0.75 0.47 1.32 0 1.13 1.69 0 0.9 1.42 
3 0 2.41 0 0.0 0.35 0 0.98 0 0.89 1.48 1.52 1.54 0.85 0.28 0 1.41 
4 0.37 0.18 2.07 0.35 0.0 1.37 0 2.73 0.43 2.22 0 0.12 1.65 0 4.14 0.35 
5 0 0.4 0 0 1.37 0.0 0.74 0.31 2.35 1.22 2.45 0.72 4.43 0.63 0.31 0.65 
6 0 0.2 0 0.98 0 0.74 0.0 0 1.36 0.78 0.99 0 1.02 0 1.29 0 
7 0 0 0.75 0 2.73 0.31 0 0.0 2.15 0.94 1.11 2.22 0 0.15 0 2.92 
8 4.05 2.53 0.47 0.89 0.43 2.35 1.36 2.15 0.0 0.99 0.25 0 0.99 0.39 1.91 0 
9 0 0.43 1.32 1.48 2.22 1.22 0.78 0.94 0.99 0.0 0.42 0.72 0.52 0 1.9 2.22 
10 1.23 0.12 0 1.52 0 2.45 0.99 1.11 0.25 0.42 0.0 0 1.27 0 0.57 0.8 
11 0 0 1.13 1.54 0.12 0.72 0 2.22 0 0.72 0 0.0 0.63 0.6 1.99 0 
12 1.79 1.51 1.69 0.85 1.65 4.43 1.02 0 0.99 0.52 1.27 0.63 0.0 0 3.95 0.56 
13 1.79 0 0 0.28 0 0.63 0 0.15 0.39 0 0 0.6 0 0.0 2.66 3.67 
14 0 0 0.9 0 4.14 0.31 1.29 0 1.91 1.9 0.57 1.99 3.95 2.66 0.0 5.83 
15 3.67 0.66 1.42 1.41 0.35 0.65 0 2.92 0 2.22 0.8 0 0.56 3.67 5.83 0.0 

;
