set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 2.0;
param o:=
0 0
1 19
2 30
3 16
4 23
5 11
6 31
7 15
8 28
9 14
10 8
11 7
12 14
13 19
14 11
15 26
16 17
17 6
18 15
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18:=
0 0 4 4 9 16 8 3 5 8935 14 22 13 16 8376 10 8655 14 12006 3 
1 4 0 4 5305 5 8 5 4 5584 12 2 6 14 9 4 10 10 11 4 
2 4 4 0 6 9388 2 2 666 6 2887 3 24 5329 4 12 13 5107 13 2 
3 9 5305 6 0 8 9 9 6 1954 13 3350 18 10 11 4 36 6 3350 8097 
4 16 5 9388 8 0 16 10 10471 10 52 5 3 4694 18 13 19 45 23 10832 
5 8 8 2 9 16 0 2665 4 28 19 7259 17 7772 2 11 2 11193 13 2 
6 3 5 2 9 10 2665 0 2 12 18 3553 11 23 5 6217 4 8 16 3 
7 5 4 666 6 10471 4 2 0 4747 2220 16 52 7 4 8 2665 5 13 2 
8 8935 5584 6 1954 10 28 12 4747 0 9 5 11 9 11 12 7 2 4 9 
9 14 12 2887 13 52 19 18 2220 9 0 11 19 12 5 12999 6 30 9749 5 
10 22 2 3 3350 5 7259 3553 16 5 11 0 7 2220 9 4 17 9 11 10 
11 13 6 24 18 3 17 11 52 11 19 7 0 7 23 5 17 12638 14 13360 
12 16 14 5329 10 4694 7772 23 7 9 12 2220 7 0 9 5 34 17 9 7106 
13 8376 9 4 11 18 2 5 4 11 5 9 23 9 0 10214 1332 12999 17 7 
14 10 4 12 4 13 11 6217 8 12 12999 4 5 5 10214 0 9548 22 7 7550 
15 8655 10 13 36 19 2 4 2665 7 6 17 17 34 1332 9548 0 14 16 7 
16 14 10 5107 6 45 11193 8 5 2 30 9 12638 17 12999 22 14 0 2166 28 
17 12006 11 13 3350 23 13 16 13 4 9749 11 14 9 17 7 16 2166 0 8438 
18 3 4 2 8097 10832 2 3 2 9 5 10 13360 7106 7 7550 7 28 8438 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 45 46 44 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 47 45 43 46 47 41 
2 45 40 0 45 42 40 43 38 41 40 44 44 42 45 43 40 42 43 39 
3 47 41 45 0 42 47 42 46 39 42 40 42 39 44 44 44 40 40 43 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 46 39 45 43 44 43 
5 42 42 40 47 44 0 40 39 42 40 42 46 44 39 45 39 43 48 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 42 43 45 43 44 39 
7 46 45 38 46 43 39 40 0 41 40 41 44 43 40 43 40 46 43 43 
8 44 41 41 39 42 42 42 41 0 41 40 47 41 43 42 46 43 40 42 
