set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 5.0;
param o:=
0 0
1 19
2 30
3 16
4 23
5 11
6 31
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 26
17 17
18 6
19 15
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19:=
0 0 4 6 9 16 8 3 6 8935 11 22 13 16 8097 10 8097 11 10889 12 5 
1 4 0 4 5305 5 8 7 5 5584 12 2 6 18 8 7 6 7 8 10 5026 
2 6 4 0 3 7944 4 2 1776 3 5055 3 21 3997 3 10 20 4441 8 6 6 
3 9 5305 3 0 8 11 7 8 2528 17 3350 18 13 7 8 22 14 3611 4333 21 
4 16 5 7944 8 0 16 10 10471 10 52 5 3 4694 12 64 4 59 22 11554 14 
5 8 8 4 11 16 0 2665 4 36 19 7259 17 9772 7 2 12 1998 11 15 2 
6 3 7 2 7 10 2665 0 2 10 29 4467 11 23 7 4663 6 6 13 16 3 
7 6 5 1776 8 10471 4 2 0 6138 3611 20 52 8 4 4 8655 3 17 11 2 
8 8935 5584 3 2528 10 36 10 6138 0 12 5 11 12 5 14 8 6 3 5 36 
9 11 12 5055 17 52 19 29 3611 12 0 11 19 12 3 3331 26 8 7583 12 6499 
10 22 2 3 3350 5 7259 4467 20 5 11 0 7 2792 6 9 7 8 7 13 6143 
11 13 6 21 18 3 17 11 52 11 19 7 0 7 16 23 4 17332 14 12999 53 
12 16 18 3997 13 4694 9772 23 8 12 12 2792 7 0 9 37 7 34 14 7222 18 
13 8097 8 3 7 12 7 7 4 5 3 6 16 9 0 4663 10471 3331 6 15 26 
14 10 7 10 8 64 2 4663 4 14 3331 9 23 37 4663 0 10214 5 10 9326 3 
15 8097 6 20 22 4 12 6 8655 8 26 7 4 7 10471 10214 0 12 11 19 9 
16 11 7 4441 14 59 1998 6 3 6 8 8 17332 34 3331 5 12 0 6661 32 3553 
17 10889 8 8 3611 22 11 13 17 3 7583 7 14 14 6 10 11 6661 0 2166 14 
18 12 10 6 4333 11554 15 16 11 5 12 13 12999 7222 15 9326 19 32 2166 0 55 
19 5 5026 6 21 14 2 3 2 36 6499 6143 53 18 26 3 9 3553 14 55 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 43 45 49 40 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 47 46 43 41 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 41 41 42 40 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 44 40 40 43 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 45 43 44 43 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 39 47 44 39 
