set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set K:= 1 2;
param V:= 2;
param cp:= 160;
param dm:= 5.0;
param o:=
0 0
1 7
2 30
3 16
4 23
5 11
6 19
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 12
17 26
18 17
19 6
20 15
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
0 0 3 8 12 10 6 3 5 11554 11 29 8 21 8097 10 10471 3 8655 11 13 4 
1 3 0 5 6860 3 7 5 4 7222 9 3 4 23 6 9 8 1 8 8 8655 5 
2 8 5 0 5 7944 6 4 2889 5 5055 4 21 6499 3 17 33 3972 14 8 17 5055 
3 12 6860 5 0 5 11 11 8 2528 17 4333 11 13 7 10 22 16 8935 3611 9 13 
4 10 3 7944 5 0 10 6 6439 6 32 5 2 2887 7 49 2 15 23 6883 9 6661 
5 6 7 6 11 10 0 2665 4 36 12 9388 11 7772 4 3 10 4219 3 10 11 1554 
6 3 5 4 11 6 2665 0 2 16 22 5777 7 38 5 5863 10 2 11 16 20 1 
7 5 4 2889 8 6439 4 2 0 6138 2220 26 32 7 2 5 6883 3 7 7 8 1998 
8 11554 7222 5 2528 6 36 16 6138 0 12 6 7 12 5 17 8 8 9 3 17 9 
9 11 9 5055 17 32 12 22 2220 12 0 11 12 12 2 4188 26 27 2513 7 7539 5 
10 29 3 4 4333 5 9388 5777 26 6 11 0 7 3611 6 15 9 5 14 14 8666 16 
11 8 4 21 11 2 11 7 32 7 12 7 0 4 10 18 2 5329 15 7772 32 8216 
12 21 23 6499 13 2887 7772 38 7 12 12 3611 4 0 9 47 9 30 21 5305 11 8 
13 8097 6 3 7 7 4 5 2 5 2 6 10 9 0 5863 10471 5584 5 8 23 8 
14 10 9 17 10 49 3 5863 5 17 4188 15 18 47 5863 0 12844 30 2 10051 12 5 
15 10471 8 33 22 2 10 10 6883 8 26 9 2 9 10471 12844 0 10 15 14 7 7550 
16 3 1 3972 16 15 4219 2 3 8 27 5 5329 30 5584 30 10 0 7259 32 9214 3 
17 8655 8 14 8935 23 3 11 7 9 2513 14 15 21 5 2 15 7259 0 8376 13 5 
18 11 8 8 3611 6883 10 16 7 3 7 14 7772 5305 8 10051 14 32 8376 0 7 8935 
19 13 8655 17 9 9 11 20 8 17 7539 8666 32 11 23 12 7 9214 13 7 0 13 
20 4 5 5055 13 6661 1554 1 1998 9 5 16 8216 8 8 5 7550 3 5 8935 13 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 40 43 49 46 40 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 43 47 43 43 41 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 40 41 41 42 40 
