set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 3000;
param dm:= 2.0;
param o:=
0 0
1 1100
2 700
3 800
4 1400
5 2100
6 400
7 800
8 100
9 500
10 600
11 1200
12 1300
13 1300
14 300
15 900
16 2100
17 1000
18 900
19 2500
20 1800
21 700
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 11 11 15 29 16 9 11 6701 12 19 8 8 4467 3 7222 4 4885 6 12 9 11915 
1 11 0 2 8305 11 6 10 5 7259 8 11 11 68 15 12 26 13 16 18 17320 22 18 
2 11 2 0 10 11554 3 5 4219 9 5551 9 24 15887 15 24 77 12657 31 17 35 16876 22 
3 15 8305 10 0 1 12 8 12 6860 27 10110 13 65 12 17 82 35 13989 15321 47 20 26 
4 29 11 11554 1 0 16 8 12277 8 55 11 7 15887 12 68 25 68 27 15321 28 15987 51 
5 16 6 3 12 16 0 4747 2 25 10 5863 12 10832 16 19 16 16609 12 13 21 13767 19265 
6 9 10 5 8 8 4747 0 5 4 21 3909 6 43 11 10610 15 14 24 24 33 15 22 
7 11 5 4219 12 12277 2 5 0 5305 1332 18 38 10 15 15 12277 15 22 11 17 12657 70 
8 6701 7259 9 6860 8 25 4 5305 0 12 3 4 19 10 17 14 9 13 14 57 12 18 
9 12 8 5551 27 55 10 21 1332 12 0 5 12 8 11 11554 20 53 9992 12 16194 14 21 
10 19 11 9 10110 11 5863 3909 18 3 5 0 6 6138 7 8 20 9 11 19 13123 21 28 
11 8 11 24 13 7 12 6 38 4 12 6 0 14 6 10 15 7818 13 14519 47 14798 16 
12 8 68 15887 65 15887 10832 43 10 19 8 6138 14 0 10 19 17 26 18 9027 27 13 55 
13 4467 15 15 12 12 16 11 15 10 11 7 6 10 0 5026 12638 3909 8 22 28 21 18 
14 3 12 24 17 68 19 10610 15 17 11554 8 10 19 5026 0 6499 7 4 5107 9 7 9388 
15 7222 26 77 82 25 16 15 12277 14 20 20 15 17 12638 6499 0 10 10 11 14 8666 14 
16 4 13 12657 35 68 16609 14 15 9 53 9 7818 26 3909 7 10 0 3109 23 7222 6 8666 
17 4885 16 31 13989 27 12 24 22 13 9992 11 13 18 8 4 10 3109 0 3775 5 3 3 
18 6 18 17 15321 15321 13 24 11 14 12 19 14519 9027 22 5107 11 23 3775 0 31 2665 6 
19 12 17320 35 47 28 21 33 17 57 16194 13123 47 27 28 9 14 7222 5 31 0 7 13 
20 9 22 16876 20 15987 13767 15 12657 12 14 21 14798 13 21 7 8666 6 3 2665 7 0 14 
21 11915 18 22 26 51 19265 22 70 18 21 28 16 55 18 9388 14 8666 3 6 13 14 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0 50 50 49 45 44 47 47 42 43 41 42 40 41 39 41 39 42 47 43 43 44 
1 50 0 39 42 42 41 41 46 42 43 44 49 46 51 52 48 52 54 51 52 52 56 
2 50 39 0 47 44 40 45 41 43 42 47 46 46 51 47 47 48 50 50 52 51 52 
3 49 42 47 0 38 48 41 48 41 44 43 42 46 45 50 48 47 49 50 49 51 55 
4 45 42 44 38 0 44 41 44 41 45 43 42 46 45 46 48 46 49 50 49 51 50 
5 44 41 40 48 44 0 41 39 42 40 42 45 43 46 45 45 46 52 47 50 49 50 
6 47 41 45 41 41 41 0 40 39 41 40 46 43 44 45 49 45 47 48 48 49 49 
7 47 46 41 48 44 39 40 0 41 39 41 44 42 45 44 44 49 47 50 53 48 49 
8 42 42 43 41 41 42 39 41 0 42 39 44 42 43 43 48 48 46 47 47 51 48 
9 43 43 42 44 45 40 41 39 42 0 40 44 41 49 44 43 44 46 46 48 47 48 
10 41 44 47 43 43 42 40 41 39 40 0 41 41 46 42 43 42 45 45 46 46 47 
11 42 49 46 42 42 45 46 44 44 44 41 0 43 41 43 49 43 45 47 45 47 47 
12 40 46 46 46 46 43 43 42 42 41 41 43 0 46 40 40 41 42 42 45 44 45 
13 41 51 51 45 45 46 44 45 43 49 46 41 46 0 41 44 40 43 45 42 45 44 
14 39 52 47 50 46 45 45 44 43 44 42 43 40 41 0 41 39 40 42 46 42 42 
15 41 48 47 48 48 45 49 44 48 43 43 49 40 44 41 0 42 42 40 49 42 44 
16 39 52 48 47 46 46 45 49 48 44 42 43 41 40 39 42 0 40 42 41 46 42 
17 42 54 50 49 49 52 47 47 46 46 45 45 42 43 40 42 40 0 41 41 40 40 
18 47 51 50 50 50 47 48 50 47 46 45 47 42 45 42 40 42 41 0 44 40 46 
19 43 52 52 49 49 50 48 53 47 48 46 45 45 42 46 49 41 41 44 0 42 40 
20 43 52 51 51 51 49 49 48 51 47 46 47 44 45 42 42 46 40 40 42 0 41 
21 44 56 52 55 50 50 49 49 48 48 47 47 45 44 42 44 42 40 46 40 41 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0.0 0 0 0 2.46 1.41 0 0 2.26 1.06 1.05 0.38 0.68 1.51 0.27 2.53 0.35 1.36 0 0.5 0 4.18 
1 0 0.0 0 2.91 0.98 0 0.7 0 2.45 0 0.53 0 4.42 0 0 2.23 0 0 0 4.8 0 0 
2 0 0 0.0 0 4.05 0 0 1.17 0.45 1.54 0 1.68 5.57 0 0.9 4.99 3.51 1.15 0 1.3 4.68 0 
3 0 2.91 0 0.0 0.03 0 0.66 0 2.41 2.28 3.55 0.9 4.23 0 0 5.36 3.02 3.88 4.25 4.0 0 0 
4 2.46 0.98 4.05 0.03 0.0 1.37 0.7 4.31 0.32 3.58 0.47 0.35 5.57 0 4.42 2.19 4.42 1.02 4.25 2.46 4.44 4.31 
5 1.41 0 0 0 1.37 0.0 1.6 0.08 1.36 0.43 1.98 0 3.8 0.78 1.64 0.65 5.83 0 0 0 3.82 6.49 
6 0 0.7 0 0.66 0.7 1.6 0.0 0 0.31 1.17 1.32 0 2.82 0 3.58 0 0.67 0.89 0.92 2.31 0 1.07 
7 0 0 1.17 0 4.31 0.08 0 0.0 1.79 0.37 0.99 2.09 0.42 0.7 0.62 4.31 0 0.83 0 0 3.51 3.88 
