set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 40;
param dm:= 5.0;
param o:=
0 0
1 7
2 30
3 16
4 23
5 11
6 19
7 15
8 28
9 8
10 8
11 7
12 14
13 6
14 19
15 11
16 12
17 26
18 17
19 6
20 15
21 5
22 10
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 4 8 9 12 8 3 8 8935 14 22 10 16 10471 10 8097 3 8655 14 17 4 558 15 
1 4 0 5 6860 4 8 5 6 7222 12 2 5 14 8 9 5 1 8 11 11193 5 4 7 
2 8 5 0 5 6143 6 2 2889 5 5055 4 16 6499 3 17 33 3972 14 8 17 3109 9 4694 
3 9 6860 5 0 7 11 7 8 2528 17 4333 14 8 7 13 13 16 11554 3611 9 8 9 10 
4 12 4 6143 7 0 12 8 8097 8 40 4 2 3630 9 49 3 19 23 11193 14 8376 13 9772 
5 8 8 6 11 12 0 2665 6 36 19 7259 13 7772 7 3 10 5305 3 12 15 1554 5584 1396 
6 3 5 2 7 8 2665 0 2 10 18 3553 8 23 4 4663 6 2 9 21 25 1 3 3 
7 8 6 2889 8 8097 6 2 0 6138 3611 26 40 11 4 6 11193 5 9 9 11 1998 29 1805 
8 8935 7222 5 2528 8 36 10 6138 0 12 6 9 7 5 22 5 8 11 3 17 6 10 15 
9 14 12 5055 17 40 19 18 3611 12 0 11 15 12 3 5416 26 35 3250 9 9749 5 14 2528 
10 22 2 4 4333 4 7259 3553 26 6 11 0 6 2220 6 12 6 3 10 14 8666 10 11 6701 
11 10 5 16 14 2 13 8 40 9 15 6 0 6 13 18 3 6701 15 12638 52 10331 9 11727 
12 16 14 6499 8 3630 7772 23 11 7 12 2220 6 0 9 37 5 19 17 6860 14 8 34 8 
13 10471 8 3 7 9 7 4 4 5 3 6 13 9 0 7583 10471 7222 6 11 30 8 19 8 
14 10 9 17 13 49 3 4663 6 22 5416 12 18 37 7583 0 10214 30 2 12999 15 4 7818 2792 
15 8097 5 33 13 3 10 6 11193 5 26 6 3 5 10471 10214 0 6 12 18 9 7550 9 10 
16 3 1 3972 16 19 5305 2 5 8 35 3 6701 19 7222 30 6 0 7259 42 11915 3 2513 7 
17 8655 8 14 11554 23 3 9 9 11 3250 10 15 17 6 2 12 7259 0 10832 16 4 9 7 
18 14 11 8 3611 11193 12 21 9 3 9 14 12638 6860 11 12999 18 42 10832 0 9 11554 14 9 
19 17 11193 17 9 14 15 25 11 17 9749 8666 52 14 30 15 9 11915 16 9 0 17 62 13 
20 4 5 3109 8 8376 1554 1 1998 6 5 10 10331 8 8 4 7550 3 4 11554 17 0 12 3 
21 558 4 9 9 13 5584 3 29 10 14 11 9 34 19 7818 9 2513 9 14 62 12 0 8 
22 15 7 4694 10 9772 1396 3 1805 15 2528 6701 11727 8 8 2792 10 7 7 9 13 3 8 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0 44 45 47 42 42 44 46 44 44 41 43 43 43 43 43 40 43 49 46 40 38 42 
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 43 47 43 43 41 44 46 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 40 41 41 42 40 41 40 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 42 44 40 40 43 47 46 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 41 45 43 44 43 42 44 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 41 43 43 44 39 41 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 39 41 43 44 39 40 40 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 40 46 47 39 41 39 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 42 39 40 46 43 42 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 42 39 42 43 41 43 39 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 40 43 41 42 42 41 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 42 46 44 44 44 43 45 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 42 45 41 41 44 43 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 41 40 40 42 41 43 40 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 43 39 44 49 40 43 40 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 42 46 42 46 44 43 44 
16 40 43 40 42 41 41 39 44 46 42 40 42 42 41 43 42 0 42 43 44 44 39 41 
17 43 47 41 44 45 43 41 40 42 39 43 46 45 40 39 46 42 0 43 44 41 43 39 
18 49 43 41 40 43 43 43 46 39 42 41 44 41 40 44 42 43 43 0 39 44 48 46 
19 46 43 42 40 44 44 44 47 40 43 42 44 41 42 49 46 44 44 39 0 45 46 44 
20 40 41 40 43 43 39 39 39 46 41 42 44 44 41 40 44 44 41 44 45 0 40 40 
21 38 44 41 47 42 41 40 41 43 43 41 43 43 43 43 43 39 43 48 46 40 0 42 
22 42 46 40 46 44 39 40 39 42 39 42 45 44 40 40 44 41 39 46 44 40 42 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0.0 0 0 0 0.86 0.38 0 0 3.01 1.25 1.23 0.47 1.13 3.67 0.5 2.73 0.17 2.92 0 0.72 0 0.19 1.02 
1 0 0.0 0.47 2.41 0.18 0.4 0.2 0 2.53 1.02 0 0 0.63 0 0 0 0 0 0.45 3.93 0 0 0 
2 0 0.47 0.0 0 2.07 0.27 0 1.01 0.47 1.77 0 1.13 2.28 0 1.42 2.16 1.39 1.23 0.32 1.48 0.86 0.74 1.65 
3 0 2.41 0 0.0 0 0 0 0 0.89 1.48 1.52 0.98 0.35 0.28 0 0.59 1.36 4.05 1.27 0.74 0 0 0 
4 0.86 0.18 2.07 0 0.0 0.58 0.38 2.73 0 2.22 0 0.12 1.22 0 2.71 0.15 1.05 1.6 3.93 1.25 2.82 0.9 3.29 
