set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39;
set K:= 1 2 3 4 5;
param V:= 5;
param cp:= 140;
param dm:= 2.0;
param o:=
0 0
1 7
2 30
3 16
4 9
5 21
6 15
7 19
8 23
9 11
10 5
11 19
12 29
13 23
14 21
15 10
16 15
17 3
18 41
19 9
20 28
21 8
22 8
23 16
24 10
25 28
26 7
27 15
28 14
29 6
30 19
31 11
32 12
33 23
34 26
35 17
36 6
37 9
38 15
39 14
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39:=
0 0 3 5 12 9 5 4 9 6143 6 40 3 4 8097 8 6701 6 4747 4 10 14 7106 9 10 9 26 9 7 8097 7 14 16 4 12277 14 14082 15526 5026 13 17 
1 3 0 3 6860 11 8 12 8 3071 7 15 3 22 11 9 13 4 8 8 12564 9 6 2 30 21 9214 5026 2 6 5 13 5 2 15165 6661 11 11193 8376 8 17 
2 5 3 0 5 10331 5 10 12277 8 3553 6 4 5329 14 27 31 1776 15 11 28 4333 4 2220 24 14804 13 8 4219 20 8 5 8 2 8660 9 6860 11 9 3109 9 
3 12 6860 5 0 20 13 16 13 7583 22 15526 18 55 24 16 72 17 17332 16609 46 3 9 4 14 20 18 9027 9749 3250 6138 13 11 32 78 46 7 4333 21 13 20 
4 9 11 10331 20 0 7 9 13360 11 28 10 9 3350 5 25 6 31 4 1954 5 17332 20 10610 11 13 6 11727 6701 13123 12006 11 12844 8 8 9104 20 27 3 5773 11168 
5 5 8 5 13 7 0 9027 29 37 11 5055 3 2513 12 14 4 3553 4 7 10 11554 5551 7539 26 27 10 22 6 41 22 6499 14 18 7222 9 16 65 3 2 10 
6 4 12 10 16 9 9027 0 6 10 30 14082 8 26 11 3611 12 9 17 10 25 15 11 9 3972 5 6 7 4 10 13360 15165 8 6 15887 19 20 17 9749 7 35 
7 9 8 12277 13 13360 29 6 0 3909 10214 78 48 14 18 8 18054 9 30 11 18 14443 44 9027 2166 6 10 3 27 29 19 19498 6 39 87 13 65 16609 15526 17 23 
8 6143 3071 8 7583 11 37 10 3909 0 20 14 6 17 16 15 13 8 14 11 58 9 11 7 4188 8 37 8 4 4 8 12285 3 4747 30 46 45 14 14 8 15077 
9 6 7 3553 22 28 11 30 10214 20 0 3 3 5 10 9104 10 7 5773 10 9548 11 4 5773 12 10 12 12006 6 12 3553 2 10889 4219 20 4 12 17 4885 1554 4219 
10 40 15 6 15526 10 5055 14082 78 14 3 0 8 7944 13 20 11 6 11 20 10610 27 10 13360 18054 19137 26 16 15 12844 24 13 17 10110 17 4 19 18 27 3331 3611 
11 3 3 4 18 9 3 8 48 6 3 8 0 5 14 14 7 2220 7 7259 45 7944 5 3553 22 13 12 8 4 29 4 7583 16 5 11193 4441 10471 14 7 2 45 
12 4 22 5329 55 3350 2513 26 14 17 5 7944 5 0 7 30 18 20 5 3909 15 14 28 8 12 10832 6701 20 4467 10 6883 10 13 5 19 27 31 17 3 6 12 
13 8097 11 14 24 5 12 11 18 16 10 13 14 7 0 6499 8935 10880 7 8 16 44 26 27 12 10 7 13402 9214 63 16 15 15077 12 15 16 31 52 30 18 17 
14 8 9 27 16 25 14 3611 8 15 9104 20 14 30 6499 0 12638 36 11 3611 10 21 11102 11915 7 14 2 8 6 44 17 19 10051 38 16609 10880 78 20581 10 8 24 
15 6701 13 31 72 6 4 12 18054 13 10 11 7 18 8935 12638 0 8 4 14 6 16609 9 14 32 32 10 14519 9 18 9 8666 16 8376 8 6661 19137 21 2 5 33 
16 6 4 1776 17 31 3553 9 9 8 7 6 2220 20 10880 36 8 0 6661 31 10658 6 2220 5 10 10 40 10 5107 8 2 3331 35 12 28 2665 35 22 12 8 6 
