set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44;
set K:= 1 2 3 4 5;
param V:= 5;
param cp:= 150;
param dm:= 5.0;
param o:=
0 0
1 7
2 30
3 16
4 9
5 21
6 15
7 19
8 23
9 11
10 5
11 19
12 29
13 23
14 21
15 10
16 15
17 3
18 41
19 9
20 28
21 8
22 8
23 16
24 10
25 28
26 7
27 15
28 14
29 6
30 19
31 11
32 12
33 23
34 26
35 17
36 6
37 9
38 15
39 14
40 7
41 27
42 13
43 11
44 16
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44:=
0 0 5 8 12 12 6 4 9 7944 10 40 5 6 10471 8 8666 10 6138 5 12 14 11554 14 10 9 33 11 12 10471 12 14 21 7 12277 22 14082 15526 6499 22 17 61 22 11193 15 10 
1 5 0 5 6860 14 10 12 8 3972 11 15 4 29 15 9 16 6 11 11 16248 9 9 3 30 21 11915 6499 4 7 8 13 7 3 15165 10832 11 11193 10832 13 17 20220 32 20 12277 13360 
2 8 5 0 3 13360 8 8 12277 8 5777 10 7 8666 11 21 51 2889 25 11 22 2665 6 2792 24 14804 13 8 6860 20 13 8 8 4 14082 14 4219 7 14 5055 14 14 14 43 18 55 
3 12 6860 3 0 12 8 12 8 4663 14 9548 18 34 15 13 44 10 10658 12844 28 2 5 3 9 12 14 5551 9749 1998 3775 8 7 32 48 28 4 2665 13 8 12 18 17 55 10436 11769 
4 12 14 13360 12 0 7 7 10331 11 46 12 12 3350 4 19 6 51 4 1954 4 10658 32 10610 9 10 6 11727 8666 13123 15526 14 12844 10 11 14804 12 17 3 9388 14443 22 2887 4 22 4 
5 6 10 8 8 7 0 6980 22 37 17 5055 4 2513 10 10 4 5777 4 7 8 7106 9027 7539 20 21 10 22 8 41 36 6499 14 23 7222 15 10 40 3 3 10 9326 28 5995 27 6 
6 4 12 8 12 7 6980 0 5 10 38 10889 8 20 8 2792 9 11 13 8 19 11 14 7 3071 4 5 7 4 10 10331 11727 8 6 12285 23 15 13 7539 9 27 25 9 10331 6 9 
7 9 8 12277 8 10331 22 5 0 3909 16609 78 48 11 11 7 13960 15 23 8 11 8882 71 6980 1332 3 8 3 27 29 19 19498 6 39 87 21 40 10214 12006 28 23 12879 13 13 3 13681 
8 7944 3972 8 4663 11 37 10 3909 0 20 18 8 17 16 15 13 8 14 11 58 6 11 7 4188 8 37 8 5 4 8 12285 3 6138 39 46 28 9 14 8 19498 34 17 29 15 16 
9 10 11 5777 14 46 17 38 16609 20 0 5 5 8 10 11448 17 12 9388 12 9548 7 6 7259 19 17 16 12006 9 12 5777 4 10889 6860 33 6 8 10 7944 2528 6860 11991 39 9 25 10110 
10 40 15 10 9548 12 5055 10889 78 18 5 0 8 7944 17 15 11 9 11 20 13721 16 17 13360 18054 19137 26 21 15 16609 39 13 23 10110 17 7 12 11 27 5416 3611 19 30 22 22 15 
11 5 4 7 18 12 4 8 48 8 5 8 0 6 18 14 9 3611 9 9388 58 7944 8 5777 22 13 16 11 6 38 7 7583 20 9 11193 7222 10471 14 9 3 45 36 18 17 31 40 
12 6 29 8666 34 3350 2513 20 11 17 8 7944 6 0 6 23 18 32 5 3909 12 9 46 8 9 8376 6701 20 5777 10 11193 10 13 7 19 43 19 11 3 10 12 9 22 21 11448 6 
13 10471 15 11 15 4 10 8 11 16 10 17 18 6 0 5026 7106 10880 5 8 12 27 26 27 7 6 7 13402 11915 63 13 12 15077 16 19 16 19 32 24 18 22 4219 4 6 35 23 
14 8 9 21 13 19 10 2792 7 15 11448 15 14 23 5026 0 9772 45 8 2792 8 16 13960 9214 5 11 2 8 6 44 13 15 10051 38 12844 13681 60 15915 8 10 19 10 9 37 26 36 
