set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
set K:= 1 2 3 4 5 6 7 8;
param V:= 8;
param cp:= 120;
param dm:= 5.0;
param o:=
0 0
1 18
2 26
3 11
4 30
5 21
6 19
7 15
8 16
9 29
10 26
11 37
12 16
13 12
14 31
15 8
16 19
17 20
18 13
19 15
20 22
21 28
22 12
23 6
24 27
25 14
26 18
27 17
28 29
29 13
30 22
31 25
32 28
33 27
34 19
35 10
36 12
37 14
38 24
39 16
40 33
41 15
42 11
43 18
44 17
45 21
46 27
47 19
48 20
49 5
;
param c[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 6 4 4 3 7 3 3 3331 6 38 13 5 4885 7 5995 5 1776 8 6 10 5995 13 9 7 29 1 14 6701 4 5 16 10 4747 4 3997 7328 7106 38 6 12 16 7994 9 5 3 2 6 18 7 
1 6 0 5 8305 12 12 9 11 11168 10 21 19 28 15 15 18 5 5 14 13123 15 6 3 13 18 9326 6661 16 5 11 7 13 9 2234 11915 13 9493 10610 36 9 6439 6 3 1675 9388 12 39 7818 15 6499 
2 4 5 0 7 3350 6 2 7539 9 9493 14 31 6980 8 22 29 5026 10 12 19 8935 5 4467 14 9214 13 6 5584 11 18 2 17 8 2792 11 8376 8 9 14804 11 7 9 27 7 29 3909 6 19 7 15 
3 4 8305 7 0 10 15 6 10 12277 10 10110 28 13 17 15 66 6 2665 5777 30 24 14 12 8 6 7 4441 12638 8935 12999 8 23 12 18 42 25 17332 22 15 7 2 13 45 9388 1083 12 14 59 16 4 
4 3 12 3350 10 0 6 4 5416 6 27 12 14 3997 7 39 9 35 7 14804 9 8097 12 10471 12 17 11 2443 3611 5863 3972 3 9548 7 5 2528 6 9 7 11193 6439 19 13360 13 24 10 3 4 11 16 24 
5 7 12 6 15 6 0 7259 17 28 54 17332 18 7994 6 13 2 13360 7 23 9 3350 3630 8097 25 38 18 13 4 22 7 3630 21 51 8376 11 9 11 2 17 15 8660 48 11168 22 20 3 7 2 1954 21 
6 3 9 2 6 4 7259 0 7 13 28 11554 14 19 9 10331 8 4 6 18 18 12 8 7 6143 8 11 5 8 6 5584 3350 12 6 2234 10 9 9 9214 15 15 9 8 7259 6 5 9 6 6980 5305 5863 
7 3 11 7539 10 5416 17 7 0 1554 5551 26 22 4 9 3 10110 12 8 15 3 10889 41 12285 12285 17 9 2 23 41 11 6980 7 25 35 4 4 11168 10051 12 5 4441 17 16 14 10471 9 2 9772 32 56 
8 3331 11168 9 12277 6 28 13 1554 0 14 10 7 9 5 6 8 13 6 21 6 9 10 24 13123 19 37 12 4 10 7 6143 10 7328 18 10 4 12 10 8 6439 11 18 28 26 15 22 1 8376 6980 17 
9 6 10 9493 10 27 54 28 5551 14 0 7 13 3 10 7994 22 33 3553 8 8216 21 17 10214 9 9 3 4219 8 15 9326 13 3775 1554 34 13 7 20 15356 7944 888 1998 39 11 11 4333 8216 7 16 24 9027 
10 38 21 14 10110 12 17332 11554 26 10 7 0 6 5416 14 10 34 16 10 23 10110 42 38 19498 16971 14443 17 8 16 18054 59 58 6 7944 56 12 9 21 78 2528 3972 7 40 41 19 19 13 10 23 18 16 
11 13 19 31 28 14 18 14 22 7 13 6 0 11 14 5 15 15887 12 16609 26 18776 21 21303 41 19 17 8 14 75 16 14443 19 51 16609 9027 5416 22 23 4 36 21 29 29 43 55 12638 10 18 18 72 
12 5 28 6980 13 3997 7994 19 4 9 3 5416 11 0 7 24 34 18 3 5773 12 12 35 10 8 6439 4885 3 5773 10 6661 7 7 4 13 16 9 10 10 14 2 1 36 37 8216 4 11 4 8660 8 6 
13 4885 15 8 17 7 6 9 9 5 10 14 14 7 0 7944 3972 14804 7 41 19 12 16 30 18 20 24 5107 2528 37 5 6 11324 11 13 6 7 15 22 25 10 7772 38 23 69 62 19 5 6 21 18 
14 7 15 22 15 39 13 10331 3 6 7994 10 5 24 7944 0 11915 66 9 19137 2 15 13123 15636 20 81 10 5 9 55 12 11 7994 36 12564 7222 8 13123 12 7 9 7 22 70 66 59 10471 3997 12 13 21 
15 5995 18 29 66 9 2 8 10110 8 22 34 15 34 3972 11915 0 19 10 44 9 2792 7 17 37 42 13 6661 4 10 4 5305 15 10880 20 7222 9388 4 3 16 43 11 18054 69 16609 68 4694 30 4188 4 74 
16 5 5 5026 6 35 13360 4 12 13 33 16 15887 18 14804 66 19 0 3109 33 15165 18 11554 10 5 5 40 5 12277 7 12 6701 59 25 9 10471 52 30 32 56 10 4 8 10 6138 5 42 22 16 10832 6 
17 1776 5 10 2665 7 7 6 8 6 3553 10 12 3 7 9 10 3109 0 5773 8 11 8 28 7 5773 5551 2 6 16 7 6 14 3 5 5 4885 11 9 9388 4 1 9 7550 7 3 5 16 15 7 19 
18 8 14 12 5777 14804 23 18 15 21 8 23 16609 5773 41 19137 44 33 5773 0 77 25275 20 17 10110 19 4 7 18 52 75 12564 10471 5 17 32 21 92 26 18 8 19 14082 15 15 5055 17332 18 82 23 6 
19 6 13123 19 30 9 9 18 3 6 8216 10110 26 12 19 2 9 15165 8 77 0 12 44 16 15 19859 21 9 5416 13 17 9 9 10 22 6 2 11 10 33 9 28 18 16 15 14804 9 3 39 34 20 
20 10 15 8935 24 8097 3350 12 10889 9 21 42 18776 12 12 15 2792 18 11 25275 12 0 25 12 15636 29 19545 8882 6143 35 10 8 40 16194 23 34 10 4 7 79 16 44 30 14 13960 25 7 17 4 7 21 
21 5995 6 5 14 12 3630 8 41 10 17 38 21 35 16 13123 7 11554 8 20 44 25 0 6 13 19 32 29 26 3 4 4 20 13 6701 7539 10610 3 5 19137 13681 10 9 9 8 19 6 32 3 4 18 
22 13 3 4467 12 10471 8097 7 12285 24 10214 19498 21303 10 30 15636 17 10 28 17 16 12 6 0 5863 14 11 8 12638 3 21 5863 28 36 6 52 16 10 38 23 13 33 4 6 6 16 21 13 27 6422 11 
